bootstrap_id,n_sample,T_log,d_effectif,biais
1,589,-19.13527855095476,1,0.0
2,1274,-21.449750508396328,1,0.0
3,1155,-21.15556686886768,1,0.0
4,939,-20.534446437624787,1,0.0
5,933,-20.515215602542032,1,0.0
6,1359,-21.64351324245343,1,0.0
7,586,-19.11995936873104,1,0.0
8,1198,-21.265226336026185,1,0.0
9,701,-19.65752366110377,1,0.0
10,594,-19.160637958087936,1,0.0
11,1027,-20.803191629785672,1,0.0
12,1476,-21.891273015481254,1,0.0
13,1236,-21.35890691405291,1,0.0
14,1261,-21.41898100789476,1,0.0
15,1218,-21.314896344809526,1,0.0
16,1286,-21.477875714392695,1,0.0
17,1013,-20.76201451274605,1,0.0
18,628,-19.327620499404595,1,0.0
19,1340,-21.60127467883487,1,0.0
20,950,-20.56938595378376,1,0.0
21,1000,-20.72326583694641,1,0.0
22,871,-20.308925930557507,1,0.0
23,682,-19.575088973530388,1,0.0
24,1427,-21.78998885243051,1,0.0
25,1282,-21.468529912441845,1,0.0
26,1144,-21.12685851581923,1,0.0
27,902,-20.41384356018787,1,0.0
28,1323,-21.562971492344868,1,0.0
29,1045,-20.855316493196735,1,0.0
30,943,-20.547198847900372,1,0.0
31,950,-20.56938595378376,1,0.0
32,727,-19.766779432600558,1,0.0
33,592,-19.150519904652015,1,0.0
34,1055,-20.8838881377305,1,0.0
35,1388,-21.70685742320025,1,0.0
36,563,-18.99983888441907,1,0.0
37,1359,-21.64351324245343,1,0.0
38,1328,-21.574287990109138,1,0.0
39,777,-19.96632105110294,1,0.0
40,1132,-21.095223776289387,1,0.0
41,665,-19.499361121967564,1,0.0
42,1258,-21.411835311781157,1,0.0
43,1201,-21.27272946623995,1,0.0
44,854,-20.24979358136571,1,0.0
45,567,-19.021077911183255,1,0.0
46,1471,-21.881093161804316,1,0.0
47,946,-20.556727707155634,1,0.0
48,1394,-21.71979777396141,1,0.0
49,1178,-21.214720092634597,1,0.0
50,1279,-21.46150140473653,1,0.0
51,1260,-21.41660099983657,1,0.0
52,694,-19.627415881520413,1,0.0
53,864,-20.284718306412167,1,0.0
54,967,-20.622595486359884,1,0.0
55,998,-20.71725982893439,1,0.0
56,543,-18.891327959801806,1,0.0
57,1047,-20.86105263261161,1,0.0
58,654,-19.449322054371596,1,0.0
59,1244,-21.378261819897375,1,0.0
60,1183,-21.22742659193516,1,0.0
61,1423,-21.781567794269556,1,0.0
62,1245,-21.380672426696425,1,0.0
63,867,-20.295116930341624,1,0.0
64,1468,-21.87496862752338,1,0.0
65,911,-20.443628691779875,1,0.0
66,826,-20.149784320562933,1,0.0
67,1406,-21.74551221711183,1,0.0
68,870,-20.30547963494589,1,0.0
69,576,-19.068322982087675,1,0.0
70,970,-20.631888214492285,1,0.0
71,1296,-21.50111363073666,1,0.0
72,689,-19.605723813040974,1,0.0
73,963,-20.61016023539438,1,0.0
74,630,-19.337159458156734,1,0.0
75,1187,-21.237553183829004,1,0.0
76,976,-20.650387759239276,1,0.0
77,830,-20.16427710237193,1,0.0
78,727,-19.766779432600558,1,0.0
79,1065,-20.912190234430575,1,0.0
80,1170,-21.194277083375407,1,0.0
81,1441,-21.819277787998566,1,0.0
82,937,-20.528049846715266,1,0.0
83,660,-19.476719505061414,1,0.0
84,1333,-21.585561960536126,1,0.0
85,1130,-21.089918735119156,1,0.0
86,1200,-21.270230507328275,1,0.0
87,597,-19.175751340177808,1,0.0
88,812,-20.098501020485035,1,0.0
89,1268,-21.435588404991513,1,0.0
90,1333,-21.585561960536126,1,0.0
91,935,-20.521639587866062,1,0.0
92,1305,-21.521874959270384,1,0.0
93,1342,-21.605748952594883,1,0.0
94,887,-20.363534946928738,1,0.0
95,1398,-21.728393768381267,1,0.0
96,788,-20.00849426957364,1,0.0
97,739,-19.815893762844603,1,0.0
98,1183,-21.22742659193516,1,0.0
99,1137,-21.108445481251607,1,0.0
100,639,-19.379713363132602,1,0.0
