b,d_s_robust,Tlog_npoints_median,fit_ok,lambda_max_used
1,1.624973569055193,-6.431690803943149,True,0.2
2,1.5560844325658658,-6.6182460438668285,True,0.2
3,1.5508542229666398,-6.632409714023819,True,0.2
4,1.5544664353929794,-6.622627661436248,True,0.2
5,1.5948442622247845,-6.513282479364308,True,0.2
6,1.5301143446540046,-6.688574345659187,True,0.2
7,1.651127907632039,-6.360863542100425,True,0.2
8,1.699047504824526,-6.231094867286575,True,0.2
9,1.454046699405978,-6.894569347670477,True,0.2
10,1.4894551947276335,-6.798681364793941,True,0.2
11,1.7194045398349345,-6.175966994532793,True,0.2
12,1.5141724884909,-6.731745692447625,True,0.2
13,1.6395398794438776,-6.392244504165753,True,0.2
14,1.5866318613042103,-6.535522073328799,True,0.2
15,1.4392787591149636,-6.934561671345424,True,0.2
16,1.4983862583791612,-6.774495596076365,True,0.2
17,1.5065806889277655,-6.752304666781298,True,0.2
18,1.5659560216116268,-6.591513285166257,True,0.2
19,1.686980984425765,-6.263771610279043,True,0.2
20,1.621644826493157,-6.440705205907687,True,0.2
21,1.5478634655978611,-6.640508835117789,True,0.2
22,1.5117728452715613,-6.738244046750328,True,0.2
23,1.5180733911353197,-6.721181852256923,True,0.2
24,1.5452566051565653,-6.647568344060086,True,0.2
25,1.4256241962568443,-6.971538913039316,True,0.2
26,1.4503465854165052,-6.90458944210377,True,0.2
27,1.5805738119250383,-6.551927575168353,True,0.2
28,1.4626900959816789,-6.871162595835444,True,0.2
29,1.5927400639114706,-6.518980754029835,True,0.2
30,1.601859787130527,-6.494284085732473,True,0.2
31,1.654225860530888,-6.352474130129694,True,0.2
32,1.5496803684374425,-6.635588571017676,True,0.2
33,1.6415009043067477,-6.3869339503914935,True,0.2
34,1.510434558008291,-6.74186819584276,True,0.2
35,1.5640677453678202,-6.596626832028034,True,0.2
36,1.5407845939442772,-6.659678774922853,True,0.2
37,1.5019827634267755,-6.764756079858907,True,0.2
38,1.4603847662615637,-6.877405544447608,True,0.2
39,1.5175658546708548,-6.722556286481584,True,0.2
40,1.6332516151879377,-6.409273439448636,True,0.2
41,1.5561735269608303,-6.618004771772628,True,0.2
42,1.575073189226352,-6.566823537573718,True,0.2
43,1.616486949085136,-6.45467299685974,True,0.2
44,1.5649096454284035,-6.594346924399664,True,0.2
