b,n_points_available,fit_ok,reason
1,0,False,no_lambda_data_or_too_few_points
2,0,False,no_lambda_data_or_too_few_points
3,0,False,no_lambda_data_or_too_few_points
4,0,False,no_lambda_data_or_too_few_points
5,0,False,no_lambda_data_or_too_few_points
6,0,False,no_lambda_data_or_too_few_points
7,0,False,no_lambda_data_or_too_few_points
8,0,False,no_lambda_data_or_too_few_points
9,0,False,no_lambda_data_or_too_few_points
10,0,False,no_lambda_data_or_too_few_points
11,0,False,no_lambda_data_or_too_few_points
12,0,False,no_lambda_data_or_too_few_points
13,0,False,no_lambda_data_or_too_few_points
14,0,False,no_lambda_data_or_too_few_points
15,0,False,no_lambda_data_or_too_few_points
16,0,False,no_lambda_data_or_too_few_points
17,0,False,no_lambda_data_or_too_few_points
18,0,False,no_lambda_data_or_too_few_points
19,0,False,no_lambda_data_or_too_few_points
20,0,False,no_lambda_data_or_too_few_points
21,0,False,no_lambda_data_or_too_few_points
22,0,False,no_lambda_data_or_too_few_points
23,0,False,no_lambda_data_or_too_few_points
24,0,False,no_lambda_data_or_too_few_points
25,0,False,no_lambda_data_or_too_few_points
26,0,False,no_lambda_data_or_too_few_points
27,0,False,no_lambda_data_or_too_few_points
28,0,False,no_lambda_data_or_too_few_points
29,0,False,no_lambda_data_or_too_few_points
30,0,False,no_lambda_data_or_too_few_points
31,0,False,no_lambda_data_or_too_few_points
32,0,False,no_lambda_data_or_too_few_points
33,0,False,no_lambda_data_or_too_few_points
34,0,False,no_lambda_data_or_too_few_points
35,0,False,no_lambda_data_or_too_few_points
36,0,False,no_lambda_data_or_too_few_points
37,0,False,no_lambda_data_or_too_few_points
38,0,False,no_lambda_data_or_too_few_points
39,0,False,no_lambda_data_or_too_few_points
40,0,False,no_lambda_data_or_too_few_points
41,0,False,no_lambda_data_or_too_few_points
42,0,False,no_lambda_data_or_too_few_points
43,0,False,no_lambda_data_or_too_few_points
44,0,False,no_lambda_data_or_too_few_points
45,0,False,no_lambda_data_or_too_few_points
46,0,False,no_lambda_data_or_too_few_points
47,0,False,no_lambda_data_or_too_few_points
48,0,False,no_lambda_data_or_too_few_points
49,0,False,no_lambda_data_or_too_few_points
50,0,False,no_lambda_data_or_too_few_points
51,0,False,no_lambda_data_or_too_few_points
52,0,False,no_lambda_data_or_too_few_points
53,0,False,no_lambda_data_or_too_few_points
54,0,False,no_lambda_data_or_too_few_points
55,0,False,no_lambda_data_or_too_few_points
56,0,False,no_lambda_data_or_too_few_points
57,0,False,no_lambda_data_or_too_few_points
58,0,False,no_lambda_data_or_too_few_points
59,0,False,no_lambda_data_or_too_few_points
60,0,False,no_lambda_data_or_too_few_points
61,0,False,no_lambda_data_or_too_few_points
62,0,False,no_lambda_data_or_too_few_points
63,0,False,no_lambda_data_or_too_few_points
64,0,False,no_lambda_data_or_too_few_points
65,0,False,no_lambda_data_or_too_few_points
66,0,False,no_lambda_data_or_too_few_points
67,0,False,no_lambda_data_or_too_few_points
68,0,False,no_lambda_data_or_too_few_points
69,0,False,no_lambda_data_or_too_few_points
70,0,False,no_lambda_data_or_too_few_points
71,0,False,no_lambda_data_or_too_few_points
72,0,False,no_lambda_data_or_too_few_points
73,0,False,no_lambda_data_or_too_few_points
74,0,False,no_lambda_data_or_too_few_points
75,0,False,no_lambda_data_or_too_few_points
76,0,False,no_lambda_data_or_too_few_points
77,0,False,no_lambda_data_or_too_few_points
