b,n_points_fit,lambda_max_used,slope_used,d_s_robust,fit_ok,Tlog_npoints_median
1,17,0.2,0.8124867845275965,1.624973569055193,True,-6.431690803943149
2,17,0.2,0.7780422162829329,1.5560844325658658,True,-6.6182460438668285
3,16,0.2,0.7754271114833199,1.5508542229666398,True,-6.632409714023819
4,17,0.2,0.7772332176964897,1.5544664353929794,True,-6.622627661436248
5,17,0.2,0.7974221311123922,1.5948442622247845,True,-6.513282479364308
6,17,0.2,0.7650571723270023,1.5301143446540046,True,-6.688574345659187
7,17,0.2,0.8255639538160197,1.651127907632039,True,-6.360863542100425
8,18,0.2,0.849523752412263,1.699047504824526,True,-6.231094867286575
9,16,0.2,0.727023349702989,1.454046699405978,True,-6.894569347670477
10,16,0.2,0.7447275973638168,1.4894551947276335,True,-6.798681364793941
11,18,0.1997612094615035,0.8597022699171967,1.7194045398343931,True,-6.175966994534259
12,16,0.2,0.75708624424545,1.5141724884909,True,-6.731745692447625
13,17,0.2,0.8197699397219388,1.6395398794438776,True,-6.392244504165753
14,17,0.2,0.7933159306521053,1.5866318613042103,True,-6.535522073328799
15,16,0.2,0.7196393795574818,1.4392787591149636,True,-6.934561671345424
16,16,0.2,0.7491931291895806,1.4983862583791612,True,-6.774495596076365
17,17,0.2,0.7532903444638828,1.5065806889277655,True,-6.752304666781298
18,17,0.2,0.7829780108058134,1.5659560216116268,True,-6.591513285166257
19,18,0.2,0.8434904922128825,1.686980984425765,True,-6.263771610279043
20,17,0.2,0.8108224132465787,1.621644826493157,True,-6.440705205907687
21,16,0.2,0.7739317327989306,1.5478634655978611,True,-6.640508835117789
22,16,0.2,0.7558864226357807,1.5117728452715613,True,-6.738244046750328
23,16,0.2,0.7590366955676598,1.5180733911353197,True,-6.721181852256923
24,17,0.2,0.7726283025782826,1.5452566051565653,True,-6.647568344060086
25,16,0.2,0.7128120981284222,1.4256241962568443,True,-6.971538913039316
26,16,0.2,0.7251732927082526,1.4503465854165052,True,-6.90458944210377
27,17,0.2,0.7902869059625192,1.5805738119250383,True,-6.551927575168353
28,16,0.2,0.7313450479908394,1.4626900959816789,True,-6.871162595835444
29,17,0.2,0.7963700319557353,1.5927400639114706,True,-6.518980754029835
30,17,0.2,0.8009298935652635,1.601859787130527,True,-6.494284085732473
31,17,0.2,0.827112930265444,1.654225860530888,True,-6.352474130129694
32,16,0.2,0.7748401842187211,1.5496803684374425,True,-6.635588571017676
33,18,0.2,0.8207504521533738,1.6415009043067477,True,-6.3869339503914935
34,16,0.2,0.7552172790041455,1.510434558008291,True,-6.74186819584276
35,17,0.2,0.7820338726839101,1.5640677453678202,True,-6.596626832028034
36,16,0.2,0.7703922969721386,1.5407845939442772,True,-6.659678774922853
37,16,0.2,0.7509913817133878,1.5019827634267755,True,-6.764756079858907
38,15,0.2,0.7301923831307818,1.4603847662615637,True,-6.877405544447608
39,16,0.2,0.7587829273354274,1.5175658546708548,True,-6.722556286481584
40,17,0.2,0.8166258075939689,1.6332516151879377,True,-6.409273439448636
41,17,0.2,0.7780867634804152,1.5561735269608303,True,-6.618004771772628
42,17,0.2,0.787536594613176,1.575073189226352,True,-6.566823537573718
43,17,0.2,0.808243474542568,1.616486949085136,True,-6.45467299685974
44,16,0.2,0.7824548227142017,1.5649096454284035,True,-6.594346924399664
45,16,0.2,0.7737396002177485,1.547479200435497,True,-6.641549444468006
46,16,0.2,0.7838050207907901,1.56761004158158,True,-6.587034116053999
47,16,0.2,0.7483619977413253,1.4967239954826506,True,-6.778997087447546
48,16,0.2,0.7530390797432747,1.506078159486549,True,-6.7536655417356455
49,17,0.2,0.8292098120778584,1.6584196241557168,True,-6.3411172077021
50,16,0.2,0.7434421370395095,1.486884274079019,True,-6.80564354697344
51,16,0.2,0.7674921332950682,1.5349842665901363,True,-6.675386352580693
52,18,0.2,0.8569295810726669,1.7138591621453338,True,-6.190984155700304
53,16,0.2,0.7384917426075419,1.4769834852150838,True,-6.832455380247489
54,16,0.2,0.7504234541444256,1.5008469082888511,True,-6.767832032593586
55,17,0.2,0.8103801454886216,1.6207602909772432,True,-6.443100572489441
56,16,0.2,0.7295334566783683,1.4590669133567369,True,-6.880974356271548
57,17,0.2,0.8361622914153173,1.6723245828306346,True,-6.303461881566171
58,16,0.2,0.7683693847542699,1.5367387695085395,True,-6.670635070599678
