b,levina_mle,k,n_lambda_total,n_points_fit,theilsen_slope,theilsen_d_s,fit_ok
1,7.857043971850329,0,17,17,0.8124867845271065,1.624973569054213,True
1,7.857043971850329,1,17,16,0.8787120747302808,1.7574241494605616,True
1,7.857043971850329,2,17,15,0.9184617728619059,1.8369235457238118,True
1,7.857043971850329,3,17,14,0.9422733419502625,1.884546683900525,True
2,7.934000908921758,0,17,17,0.7780422162994683,1.5560844325989367,True
2,7.934000908921758,1,17,16,0.8328794183526536,1.665758836705307,True
2,7.934000908921758,2,17,15,0.8930140537878869,1.7860281075757738,True
2,7.934000908921758,3,17,14,0.9395623750670794,1.8791247501341588,True
3,7.909685042831706,0,16,16,0.7754271114846809,1.5508542229693618,True
3,7.909685042831706,1,16,15,0.8482755156147659,1.6965510312295318,True
3,7.909685042831706,2,16,14,0.9007487757364843,1.8014975514729685,True
3,7.909685042831706,3,16,13,0.9352461291006585,1.870492258201317,True
4,7.854209524996003,0,17,17,0.7772332177005005,1.554466435401001,True
4,7.854209524996003,1,17,16,0.846017107356183,1.692034214712366,True
4,7.854209524996003,2,17,15,0.8793861258405304,1.7587722516810609,True
4,7.854209524996003,3,17,14,0.9133088875584642,1.8266177751169284,True
5,7.885969596415817,0,17,17,0.7974221310927213,1.5948442621854426,True
5,7.885969596415817,1,17,16,0.8747606499097451,1.7495212998194902,True
5,7.885969596415817,2,17,15,0.9035291915292376,1.8070583830584752,True
5,7.885969596415817,3,17,14,0.943068915590884,1.886137831181768,True
6,7.8978693826725825,0,17,17,0.7650571723379078,1.5301143446758156,True
6,7.8978693826725825,1,17,16,0.8453229477170697,1.6906458954341395,True
6,7.8978693826725825,2,17,15,0.889968496197522,1.779936992395044,True
6,7.8978693826725825,3,17,14,0.9268680292005308,1.8537360584010616,True
7,7.936886581485673,0,17,17,0.8255639538166784,1.6511279076333567,True
7,7.936886581485673,1,17,16,0.8619488683003484,1.723897736600697,True
7,7.936886581485673,2,17,15,0.8854970871061536,1.7709941742123072,True
7,7.936886581485673,3,17,14,0.9159992846212418,1.8319985692424836,True
8,7.9115227265961,0,18,18,0.8495237524124237,1.6990475048248475,True
8,7.9115227265961,1,18,17,0.9055009343162386,1.8110018686324771,True
8,7.9115227265961,2,18,16,0.9578564274145558,1.9157128548291116,True
8,7.9115227265961,3,18,15,1.0001040133610688,2.0002080267221376,True
9,8.001736138992808,0,16,16,0.7270233496898424,1.4540466993796848,True
9,8.001736138992808,1,16,15,0.793408589242225,1.58681717848445,True
9,8.001736138992808,2,16,14,0.8277795719249023,1.6555591438498045,True
9,8.001736138992808,3,16,13,0.8675099208009468,1.7350198416018936,True
10,7.905897087766707,0,16,16,0.7447275973756857,1.4894551947513714,True
10,7.905897087766707,1,16,15,0.815825809382827,1.631651618765654,True
10,7.905897087766707,2,16,14,0.8723657567172204,1.7447315134344408,True
10,7.905897087766707,3,16,13,0.9124270541661058,1.8248541083322116,True
11,7.905676779529381,0,18,18,0.8597022699172436,1.7194045398344873,True
11,7.905676779529381,1,18,17,0.9178162814417009,1.8356325628834018,True
11,7.905676779529381,2,18,16,0.9691481432332757,1.9382962864665514,True
11,7.905676779529381,3,18,15,0.9919110775009785,1.983822155001957,True
12,7.877492808755293,0,16,16,0.7570862442451641,1.5141724884903283,True
12,7.877492808755293,1,16,15,0.8359406057059189,1.6718812114118378,True
12,7.877492808755293,2,16,14,0.8923751440132318,1.7847502880264636,True
12,7.877492808755293,3,16,13,0.941715421446513,1.883430842893026,True
13,7.958388791426202,0,17,17,0.8197699397221725,1.639539879444345,True
13,7.958388791426202,1,17,16,0.8883850971936581,1.7767701943873162,True
13,7.958388791426202,2,17,15,0.9204565778103102,1.8409131556206204,True
13,7.958388791426202,3,17,14,0.9524353708987164,1.9048707417974329,True
14,7.941229449929716,0,17,17,0.7933159306440796,1.5866318612881591,True
14,7.941229449929716,1,17,16,0.8580434246644152,1.7160868493288304,True
14,7.941229449929716,2,17,15,0.9103269914005307,1.8206539828010615,True
14,7.941229449929716,3,17,14,0.9553545078986517,1.9107090157973035,True
15,7.957421497724733,0,16,16,0.7196393795562197,1.4392787591124394,True
15,7.957421497724733,1,16,15,0.7913711314455054,1.5827422628910108,True
15,7.957421497724733,2,16,14,0.843601757048983,1.687203514097966,True
15,7.957421497724733,3,16,13,0.8830263512764386,1.7660527025528772,True
16,7.980177851665188,0,16,16,0.7491931291839814,1.4983862583679628,True
