b,d_s_k0,d_s_k1,d_s_k2,d_s_k3,levina_mle,d_s_robust
1,1.624973569054213,1.7574241494605616,1.836923545723812,1.884546683900525,7.857043971850329,1.624973569055193
2,1.5560844325989367,1.665758836705307,1.7860281075757738,1.8791247501341588,7.934000908921758,1.5560844325658658
3,1.5508542229693618,1.6965510312295318,1.8014975514729683,1.870492258201317,7.909685042831706,1.5508542229666398
4,1.554466435401001,1.692034214712366,1.7587722516810609,1.8266177751169284,7.854209524996003,1.5544664353929794
5,1.5948442621854426,1.7495212998194902,1.8070583830584752,1.886137831181768,7.885969596415817,1.5948442622247845
6,1.5301143446758156,1.6906458954341397,1.779936992395044,1.8537360584010616,7.8978693826725825,1.5301143446540046
7,1.6511279076333567,1.723897736600697,1.7709941742123072,1.831998569242484,7.936886581485673,1.651127907632039
8,1.6990475048248477,1.8110018686324767,1.915712854829112,2.0002080267221376,7.9115227265961,1.699047504824526
9,1.4540466993796848,1.58681717848445,1.6555591438498043,1.7350198416018936,8.001736138992808,1.454046699405978
10,1.4894551947513714,1.631651618765654,1.7447315134344408,1.824854108332212,7.905897087766707,1.4894551947276335
11,1.7194045398344873,1.8356325628834016,1.9382962864665516,1.983822155001957,7.905676779529381,1.7194045398349345
12,1.5141724884903285,1.6718812114118378,1.7847502880264636,1.883430842893026,7.877492808755293,1.5141724884909
13,1.639539879444345,1.7767701943873162,1.8409131556206204,1.9048707417974329,7.958388791426202,1.6395398794438776
14,1.5866318612881591,1.7160868493288304,1.8206539828010613,1.9107090157973037,7.941229449929716,1.5866318613042103
15,1.4392787591124394,1.5827422628910108,1.687203514097966,1.7660527025528772,7.957421497724733,1.4392787591149636
16,1.4983862583679628,1.62574930277643,1.7759719407146013,1.859216047337832,7.980177851665188,1.4983862583791612
17,1.506580688959753,1.6733036927680989,1.7849392418780512,1.915532279321181,7.98615991998836,1.5065806889277655
18,1.5659560216046455,1.655869060937924,1.7464532290698964,1.807195815422306,7.995052321990249,1.5659560216116268
19,1.6869809844188457,1.81785574815936,1.8977128448378613,1.964755781518817,7.922971036731622,1.686980984425765
20,1.621644826493031,1.711536805967015,1.787027559638661,1.865316403617488,7.955622156450095,1.621644826493157
21,1.5478634656009698,1.6073877941926813,1.734788350971421,1.8424320672123045,7.930485904485899,1.5478634655978611
22,1.5117728452590156,1.6345996496621853,1.7498815443450844,1.7933164425741823,7.95466806370073,1.5117728452715613
23,1.518073391134369,1.7110234558976587,1.7738166993115243,1.8881095261941545,7.869913047815265,1.5180733911353197
24,1.5452566051645626,1.628094277562992,1.759671216885229,1.837090979239113,7.9765567324574675,1.5452566051565653
25,1.4256241962569354,1.571506993670519,1.6726205645783232,1.731815716479307,8.012839157037629,1.4256241962568443
26,1.450346585414426,1.586596220996049,1.6832468407224417,1.74216186667281,8.007720764647399,1.4503465854165052
27,1.5805738119257131,1.7138541677778991,1.815882138958191,1.8647226618565136,7.912461066226154,1.5805738119250383
28,1.4626900959604434,1.5830753881194333,1.7049929993184032,1.8039303199514984,7.97836414621192,1.4626900959816789
29,1.592740063946593,1.674745219657363,1.7132547955387325,1.784215364840135,7.861878476498112,1.5927400639114706
30,1.6018597871256697,1.6949231359279664,1.7751864239534203,1.8244292713835075,8.064445152894214,1.601859787130527
