b,d_s_k0,d_s_k1,d_s_k2,d_s_k3,levina_mle,delta_k0_k1,abs_delta_k0_k1,sensitive_k0_k1
1,1.624973569054213,1.7574241494605616,1.8369235457238118,1.884546683900525,7.857043971850329,0.1324505804063485,0.1324505804063485,False
2,1.5560844325989367,1.665758836705307,1.7860281075757738,1.8791247501341588,7.934000908921758,0.10967440410637042,0.10967440410637042,False
3,1.5508542229693618,1.6965510312295318,1.8014975514729685,1.870492258201317,7.909685042831706,0.14569680826016995,0.14569680826016995,False
4,1.554466435401001,1.692034214712366,1.7587722516810609,1.8266177751169284,7.854209524996003,0.137567779311365,0.137567779311365,False
5,1.5948442621854426,1.7495212998194902,1.8070583830584752,1.886137831181768,7.885969596415817,0.1546770376340476,0.1546770376340476,False
6,1.5301143446758156,1.6906458954341395,1.779936992395044,1.8537360584010616,7.8978693826725825,0.16053155075832382,0.16053155075832382,False
7,1.6511279076333567,1.723897736600697,1.7709941742123072,1.8319985692424836,7.936886581485673,0.07276982896734019,0.07276982896734019,False
8,1.6990475048248475,1.8110018686324771,1.9157128548291116,2.0002080267221376,7.9115227265961,0.11195436380762969,0.11195436380762969,False
9,1.4540466993796848,1.58681717848445,1.6555591438498045,1.7350198416018936,8.001736138992808,0.13277047910476525,0.13277047910476525,False
10,1.4894551947513714,1.631651618765654,1.7447315134344408,1.8248541083322116,7.905897087766707,0.14219642401428256,0.14219642401428256,False
11,1.7194045398344873,1.8356325628834018,1.9382962864665514,1.983822155001957,7.905676779529381,0.11622802304891455,0.11622802304891455,False
12,1.5141724884903283,1.6718812114118378,1.7847502880264636,1.883430842893026,7.877492808755293,0.1577087229215095,0.1577087229215095,False
13,1.639539879444345,1.7767701943873162,1.8409131556206204,1.9048707417974329,7.958388791426202,0.13723031494297122,0.13723031494297122,False
14,1.5866318612881591,1.7160868493288304,1.8206539828010615,1.9107090157973035,7.941229449929716,0.12945498804067124,0.12945498804067124,False
15,1.4392787591124394,1.5827422628910108,1.687203514097966,1.7660527025528772,7.957421497724733,0.14346350377857142,0.14346350377857142,False
16,1.4983862583679628,1.62574930277643,1.7759719407146013,1.859216047337832,7.980177851665188,0.12736304440846724,0.12736304440846724,False
17,1.506580688959753,1.6733036927680989,1.7849392418780512,1.915532279321181,7.98615991998836,0.16672300380834582,0.16672300380834582,False
18,1.5659560216046455,1.6558690609379239,1.7464532290698964,1.807195815422306,7.995052321990249,0.08991303933327832,0.08991303933327832,False
19,1.6869809844188457,1.81785574815936,1.8977128448378613,1.964755781518817,7.922971036731622,0.13087476374051432,0.13087476374051432,False
20,1.621644826493031,1.711536805967015,1.787027559638661,1.8653164036174876,7.955622156450095,0.08989197947398408,0.08989197947398408,False
21,1.5478634656009698,1.6073877941926813,1.734788350971421,1.8424320672123045,7.930485904485899,0.05952432859171153,0.05952432859171153,False
22,1.5117728452590156,1.6345996496621853,1.7498815443450844,1.7933164425741825,7.95466806370073,0.12282680440316973,0.12282680440316973,False
23,1.5180733911343687,1.7110234558976587,1.7738166993115243,1.8881095261941543,7.869913047815265,0.19295006476329002,0.19295006476329002,False
24,1.5452566051645626,1.6280942775629919,1.7596712168852293,1.837090979239113,7.9765567324574675,0.08283767239842921,0.08283767239842921,False
25,1.4256241962569354,1.571506993670519,1.6726205645783232,1.731815716479307,8.012839157037629,0.14588279741358368,0.14588279741358368,False
26,1.450346585414426,1.586596220996049,1.6832468407224415,1.74216186667281,8.007720764647399,0.13624963558162295,0.13624963558162295,False
27,1.5805738119257133,1.7138541677778993,1.815882138958191,1.8647226618565136,7.912461066226154,0.133280355852186,0.133280355852186,False
28,1.4626900959604434,1.5830753881194333,1.7049929993184032,1.8039303199514984,7.97836414621192,0.12038529215898985,0.12038529215898985,False
29,1.592740063946593,1.674745219657363,1.7132547955387323,1.7842153648401353,7.861878476498112,0.08200515571076994,0.08200515571076994,False
30,1.6018597871256697,1.6949231359279664,1.7751864239534205,1.8244292713835075,8.064445152894214,0.09306334880229672,0.09306334880229672,False
31,1.6542258605296498,1.7229574382449084,1.845252195513351,1.9071850967231994,7.871167544239357,0.06873157771525862,0.06873157771525862,False
32,1.5496803684389235,1.7444026048649826,1.7700064497205852,1.836818387802345,7.827397132579647,0.19472223642605901,0.19472223642605901,False
33,1.6415009043030364,1.7188101566321041,1.8084236723347533,1.908971739532708,7.927625349783027,0.07730925232906771,0.07730925232906771,False
34,1.5104345580101584,1.6359378262878144,1.7365815195509362,1.859412281011358,7.90218330938506,0.125503268277656,0.125503268277656,False
35,1.5640677453664207,1.6531727504970648,1.732221414825367,1.830704114867252,7.861514236672479,0.08910500513064412,0.08910500513064412,False
36,1.5407845939444849,1.6780086248179855,1.800527969382119,1.8557278135558761,7.955752151525118,0.13722403087350066,0.13722403087350066,False
37,1.5019827634278828,1.6515071500413978,1.737360289432913,1.8405490481297495,7.953332004955717,0.14952438661351497,0.14952438661351497,False
38,1.4603847662625766,1.5295534256204375,1.6744575301445908,1.770069201732736,7.977343613546656,0.06916865935786087,0.06916865935786087,False
39,1.5175658546591604,1.6579897079290573,1.7475464265861953,1.8933270274045946,7.968022614497558,0.14042385326989693,0.14042385326989693,False
40,1.6332516151857335,1.7600998903565674,1.8625604689834763,1.9691588047785868,7.873850168242122,0.12684827517083397,0.12684827517083397,False
41,1.5561735269424548,1.6388750350941659,1.7366254623889437,1.810298005601905,7.9876144182637745,0.08270150815171107,0.08270150815171107,False
42,1.5750731892084764,1.6573974722978813,1.7550381666050472,1.8350316064963081,7.937867736429879,0.08232428308940487,0.08232428308940487,False
43,1.6164869490859366,1.7043905827097552,1.7889148473185192,1.8449642303563216,7.992511455306,0.08790363362381859,0.08790363362381859,False
44,1.5649096454282063,1.6904222508676245,1.7470854956978998,1.8177495831536836,7.879946387234554,0.12551260543941822,0.12551260543941822,False
45,1.5474792004353137,1.6265548069481202,1.732173284847345,1.8121153520679936,7.956613159711417,0.07907560651280643,0.07907560651280643,False
46,1.5676100415755976,1.7117015813797953,1.8687046982291555,1.9101148641114218,7.920921171603077,0.14409153980419775,0.14409153980419775,False
