b,matched,source,png,note
69,False,,,no name-match candidate
11,True,results\spectral_diagnostics\diag_011_counting.csv,diagnostics_theilsen_per_b_top15\b_011_diagnostic_rebuilt.png,
89,False,,,no name-match candidate
52,False,,,no name-match candidate
8,True,results\spectral_diagnostics\diag_008_counting.csv,diagnostics_theilsen_per_b_top15\b_008_diagnostic_rebuilt.png,
113,False,,,no name-match candidate
19,True,results\spectral_diagnostics\diag_019_counting.csv,diagnostics_theilsen_per_b_top15\b_019_diagnostic_rebuilt.png,
72,False,,,no name-match candidate
108,False,,,no name-match candidate
57,False,,,no name-match candidate
66,False,,,no name-match candidate
49,False,,,no name-match candidate
83,False,,,no name-match candidate
31,False,,,no name-match candidate
145,False,,,no name-match candidate
