b,levina_mle,lambda_max,n_points_fit,fit_ok,slope,stderr_slope,d_s
1,7.857043971850329,0.1,8,True,0.10802335589781638,0.024943584187732775,0.21604671179563276
1,7.857043971850329,0.2,17,True,0.15422940745781966,0.029132303153772337,0.3084588149156393
1,7.857043971850329,0.4,59,True,0.26557902484064233,0.033554707226394136,0.5311580496812847
2,7.934000908921758,0.1,8,True,0.10214645247770823,0.02400726727960719,0.20429290495541647
2,7.934000908921758,0.2,17,True,0.14587068657131175,0.028121394525951818,0.2917413731426235
2,7.934000908921758,0.4,59,True,0.2510272128165024,0.03265613503849871,0.5020544256330048
3,7.909685042831706,0.1,8,True,0.10637880287325405,0.024789619409167834,0.2127576057465081
3,7.909685042831706,0.2,16,True,0.14777847274899952,0.028638204959794973,0.29555694549799905
3,7.909685042831706,0.4,58,True,0.2595954933104552,0.03342400681881493,0.5191909866209105
4,7.854209524996003,0.1,8,True,0.10563525485168863,0.024810884639292572,0.21127050970337727
4,7.854209524996003,0.2,17,True,0.15101679125807033,0.028812433345886544,0.30203358251614065
4,7.854209524996003,0.4,56,True,0.25499353106121525,0.03291364696062179,0.5099870621224305
5,7.885969596415817,0.1,8,True,0.10622141348504634,0.024870411121071762,0.21244282697009267
5,7.885969596415817,0.2,17,True,0.1517504699666476,0.029019846999944178,0.3035009399332952
5,7.885969596415817,0.4,57,True,0.2573276733667819,0.03354755486819598,0.5146553467335638
6,7.8978693826725825,0.1,8,True,0.10808359125504728,0.02519605254121051,0.21616718251009456
6,7.8978693826725825,0.2,17,True,0.15440163402320947,0.029217594617384192,0.30880326804641894
6,7.8978693826725825,0.4,59,True,0.2659232267150581,0.03366320466432821,0.5318464534301162
7,7.936886581485673,0.1,8,True,0.10462130251104274,0.024710433045656524,0.20924260502208547
7,7.936886581485673,0.2,17,True,0.1496252086296698,0.028728047289342078,0.2992504172593396
7,7.936886581485673,0.4,56,True,0.25189856920676273,0.0331552960434094,0.5037971384135255
8,7.9115227265961,0.1,8,True,0.10519271249307108,0.024408713675376767,0.21038542498614216
8,7.9115227265961,0.2,18,True,0.15407768019082968,0.02887977596531015,0.30815536038165936
8,7.9115227265961,0.4,58,True,0.2566782536457479,0.03299251039706844,0.5133565072914958
9,8.001736138992808,0.1,8,True,0.10505781381461708,0.02468659065983991,0.21011562762923416
9,8.001736138992808,0.2,16,True,0.14611038288166006,0.02845725288145789,0.2922207657633201
9,8.001736138992808,0.4,57,True,0.25496344996198594,0.033024860135713284,0.5099268999239719
10,7.905897087766707,0.1,8,True,0.1010040419785178,0.023883958631460023,0.2020080839570356
10,7.905897087766707,0.2,16,True,0.14034604191557867,0.027765309445521927,0.28069208383115735
10,7.905897087766707,0.4,60,True,0.250134534310715,0.032633661245020734,0.50026906862143
11,7.905676779529381,0.1,8,True,0.1051916954278284,0.024710017363292928,0.2103833908556568
11,7.905676779529381,0.2,18,True,0.15418814096219324,0.029298871152087968,0.3083762819243865
11,7.905676779529381,0.4,59,True,0.2589134196479413,0.03354463258831264,0.5178268392958826
12,7.877492808755293,0.1,8,True,0.1078906706234447,0.024976889655973653,0.2157813412468894
12,7.877492808755293,0.2,16,True,0.14979308671107594,0.02890554544050817,0.2995861734221519
12,7.877492808755293,0.4,58,True,0.2633561036096212,0.03359882782894906,0.5267122072192424
13,7.958388791426202,0.1,8,True,0.10715635031738736,0.024765917089524105,0.21431270063477473
13,7.958388791426202,0.2,17,True,0.1528997786958974,0.028918570503472973,0.3057995573917948
13,7.958388791426202,0.4,57,True,0.25953865859863146,0.033219761336975885,0.5190773171972629
14,7.941229449929716,0.1,8,True,0.09868739336659069,0.02362688603474847,0.19737478673318137
14,7.941229449929716,0.2,17,True,0.14106284775835973,0.027696179451991248,0.28212569551671945
14,7.941229449929716,0.4,57,True,0.23943260258345223,0.032142775792053095,0.47886520516690445
15,7.957421497724733,0.1,8,True,0.10841922253751132,0.02507625917240615,0.21683844507502265
15,7.957421497724733,0.2,16,True,0.1505980305017013,0.028874071833864267,0.3011960610034026
15,7.957421497724733,0.4,59,True,0.2659425654346014,0.03373784631181499,0.5318851308692027
16,7.980177851665188,0.1,8,True,0.10383891867131569,0.024240282977473708,0.20767783734263137
16,7.980177851665188,0.2,16,True,0.14420484424021993,0.028087706929823982,0.28840968848043985
16,7.980177851665188,0.4,58,True,0.2527163126597443,0.03312965468604266,0.5054326253194886
17,7.98615991998836,0.1,8,True,0.10400245390209473,0.0243312750651256,0.20800490780418945
17,7.98615991998836,0.2,17,True,0.1485082926249416,0.028440869125153458,0.2970165852498832
17,7.98615991998836,0.4,57,True,0.2518477135865211,0.03290220356154139,0.5036954271730422
18,7.995052321990249,0.1,8,True,0.106374376815267,0.02462997105289265,0.212748753630534
18,7.995052321990249,0.2,17,True,0.15192482219674258,0.028740042065781426,0.30384964439348516
18,7.995052321990249,0.4,58,True,0.25998354688243674,0.03301293656404525,0.5199670937648735
19,7.922971036731622,0.1,8,True,0.10512107723950294,0.024524064154419118,0.21024215447900588
19,7.922971036731622,0.2,18,True,0.15403122185269622,0.029026990359295037,0.30806244370539243
19,7.922971036731622,0.4,59,True,0.25821582231162427,0.03330655967777496,0.5164316446232485
20,7.955622156450095,0.1,8,True,0.10508166300462866,0.024591099797374696,0.21016332600925733
20,7.955622156450095,0.2,17,True,0.15015517235123907,0.028687794832141195,0.30031034470247814
20,7.955622156450095,0.4,57,True,0.2546976675306373,0.03314667270994163,0.5093953350612745
21,7.930485904485899,0.1,8,True,0.10672675522783275,0.02488221161055753,0.2134535104556655
21,7.930485904485899,0.2,16,True,0.14825352518562918,0.028763282846612597,0.29650705037125835
21,7.930485904485899,0.4,58,True,0.2603226487215343,0.033577300663970834,0.5206452974430686
