b,lambda_max,levina_mle,theilsen_slope,theilsen_d_s,n_points_fit,fit_ok
1,0.1,7.857043971850329,0.4113497662320954,0.8226995324641908,8,True
1,0.2,7.857043971850329,0.8124867845275965,1.624973569055193,17,True
1,0.4,7.857043971850329,1.6241871649505997,3.2483743299011993,59,True
2,0.1,7.934000908921758,0.4119587410865705,0.823917482173141,8,True
2,0.2,7.934000908921758,0.7780422162829329,1.5560844325658658,17,True
2,0.4,7.934000908921758,1.5939783275709638,3.1879566551419276,59,True
3,0.1,7.909685042831706,0.40864011003057144,0.8172802200611429,8,True
3,0.2,7.909685042831706,0.7754271114833199,1.5508542229666398,16,True
3,0.4,7.909685042831706,1.6006459493060827,3.2012918986121655,58,True
4,0.1,7.854209524996003,0.4272409723959583,0.8544819447919166,8,True
4,0.2,7.854209524996003,0.7772332176964897,1.5544664353929794,17,True
4,0.4,7.854209524996003,1.504151456777572,3.008302913555144,56,True
5,0.1,7.885969596415817,0.41085443768910584,0.8217088753782117,8,True
5,0.2,7.885969596415817,0.7974221311123922,1.5948442622247845,17,True
5,0.4,7.885969596415817,1.6172856928266122,3.2345713856532243,57,True
6,0.1,7.8978693826725825,0.4165919368247776,0.8331838736495552,8,True
6,0.2,7.8978693826725825,0.7650571723270023,1.5301143446540046,17,True
6,0.4,7.8978693826725825,1.5937507386758551,3.1875014773517103,59,True
7,0.1,7.936886581485673,0.415342657561973,0.830685315123946,8,True
7,0.2,7.936886581485673,0.8255639538160197,1.6511279076320393,17,True
7,0.4,7.936886581485673,1.5949737013129393,3.1899474026258785,56,True
8,0.1,7.9115227265961,0.39397347386516207,0.7879469477303241,8,True
8,0.2,7.9115227265961,0.849523752412263,1.699047504824526,18,True
8,0.4,7.9115227265961,1.5471011799180059,3.0942023598360118,58,True
9,0.1,8.001736138992808,0.419423864579601,0.838847729159202,8,True
9,0.2,8.001736138992808,0.727023349702989,1.454046699405978,16,True
9,0.4,8.001736138992808,1.5988363729553845,3.197672745910769,57,True
10,0.1,7.905897087766707,0.41298633338281315,0.8259726667656263,8,True
10,0.2,7.905897087766707,0.7447275973638168,1.4894551947276335,16,True
10,0.4,7.905897087766707,1.6708130892096527,3.3416261784193053,60,True
11,0.1,7.905676779529381,0.42766214911349154,0.8553242982269831,8,True
11,0.2,7.905676779529381,0.8597022699174672,1.7194045398349345,18,True
