embedding_dim,k,d_s,note
4,4,2.1587939120708732,
4,6,1.9394650895630892,
4,8,1.737871966578754,
4,10,0.3993527449592499,
4,12,1.5138905129814126,
6,4,2.050782362088993,
6,6,1.6501742790204947,
6,8,1.4404961275820123,
6,10,0.3036720762479857,
6,12,0.23396559647426948,
8,4,1.8677919093608153,
8,6,1.4465760037558626,
8,8,1.3228980570324287,
8,10,0.27681643536012157,
8,12,1.2135909620976255,
10,4,1.6618826120647738,
10,6,1.3757289099436765,
10,8,1.321298626078517,
10,10,0.26720271379557375,
10,12,1.2461918037762014,
12,4,1.543729131072308,
12,6,1.403051850506829,
12,8,1.3570766632777067,
12,10,0.276947769849067,
12,12,1.3227247252085224,
