lambda,N_lambda
3.1684887925181134e-09,1
0.0038319464816405032,2
0.013340119363177527,3
0.028145462983322583,4
0.04731484035200328,5
0.06379974489916204,6
0.08842838020362348,7
0.09092874231608634,8
0.10451506188386092,9
0.10718007256127404,10
0.13783946482775689,11
0.14269054647779414,12
0.15532588699701505,13
0.16549532582005533,14
0.1796173059266645,15
0.1943524896125023,16
0.205650333332366,17
0.2132861907977441,18
0.21891435174235235,19
0.22474768851319518,20
0.2257064288114377,21
0.2554767447949708,22
0.2630012744623554,23
0.2716131488702395,24
0.27541058655653733,25
0.27568671573487535,26
0.28084141136548074,27
0.28702714264034607,28
0.287537533263153,29
0.2949102690346644,30
0.2993572570385482,31
0.30441157554332154,32
0.3118484110270423,33
0.3130611968769191,34
0.31740566994563585,35
0.3244558898614388,36
0.3258408488355164,37
0.32692935158277686,38
0.3353634216628412,39
0.33839825562662185,40
0.34253983173585373,41
0.34314764748896864,42
0.3477440544024022,43
0.3513380880396432,44
0.35226430308271095,45
0.3561896792488974,46
0.3631914419029921,47
0.36684676297206725,48
0.37127937197221433,49
0.37536526639053863,50
0.37619558021600097,51
0.38060455475490274,52
0.3817414162399564,53
0.38971040475469854,54
0.39287489465389414,55
0.3955608937677733,56
0.397883791408164,57
0.4009601624229822,58
0.4015176245776291,59
0.4034907573729947,60
0.4075280468307267,61
0.4091350150932979,62
0.4118456765396729,63
0.41314773646809627,64
0.41627539535476227,65
0.41940527264636557,66
0.4218267851066876,67
0.42289039253816185,68
0.4256655611296726,69
0.4278933027503833,70
0.43062359341995793,71
0.43278787244386624,72
0.43390700590834874,73
0.436003120119735,74
0.4367383159204394,75
0.43971414252852103,76
0.43989038329207936,77
0.44761617614008303,78
0.4486502892838465,79
0.45044565550922605,80
0.4531786077675886,81
0.4545784180483178,82
0.4574133990464525,83
0.45909961470554916,84
0.4631353093268284,85
0.46378358061582037,86
0.4646976206308877,87
0.4677057382383722,88
0.47009329160359714,89
0.4720007903882272,90
0.4770729037089736,91
0.4817193648014256,92
0.4835147145455678,93
0.4839671176233546,94
0.48572307700630357,95
0.4894396857056432,96
0.4921951292753434,97
0.4925803549031808,98
0.494436368869164,99
0.4963893633428932,100
0.5008995632812229,101
0.5018643019662345,102
0.504445663335896,103
0.5081329309554121,104
0.5103154822101367,105
0.5108802914303463,106
0.5131649112760384,107
0.5148499873346609,108
0.5156873214528575,109
0.5166218426365218,110
0.5182956225169639,111
0.5192573114666741,112
0.5229796936104967,113
0.5239473229292816,114
0.526635213973014,115
0.5284222833666057,116
0.5301328442739094,117
0.5314162349281565,118
0.5328533436881003,119
0.5352552360705117,120
0.5355827413133876,121
0.5384464826185603,122
0.5386134032759325,123
0.5419137906964833,124
0.5444646898048668,125
0.5459163553807499,126
0.5470687355117291,127
0.5479195204317202,128
0.5501312248924791,129
0.5512042875044764,130
0.5544191491702042,131
0.555451624217279,132
0.5565496678922808,133
0.5573237712183531,134
0.5591693092127628,135
0.5598158406480398,136
0.5619805599027851,137
0.562477570347939,138
0.5642279855348917,139
0.5653153087184248,140
0.5663031779942075,141
0.5680008214877911,142
