diag,n_nodes_sub,n_eig_computed,n_lambda_total,n_points_fit,fit_ok,slope,stderr_slope,r2,mse,max_cook,n_influential
1,1953,400,400,17,True,0.1542294083778822,0.02913230325079332,0.6513859403231477,0.23546961443959186,101.36746510727986,1
2,1953,400,400,17,True,0.14587068552169632,0.0281213944091319,0.6420630189953358,0.24176673479252722,110.19769564172229,1
3,1953,400,400,16,True,0.14777847164518862,0.02863820483802079,0.6554060114142467,0.22993260007005484,102.7909688011131,1
4,1953,400,400,17,True,0.1510167938368254,0.02881243362496808,0.646826317419579,0.23854938881268647,107.4856551955079,1
5,1953,400,400,17,True,0.15175046974351308,0.02901984697563671,0.6457626610516145,0.2392678301603848,107.3963307160911,1
6,1953,400,400,17,True,0.1544016342864425,0.029217594645267346,0.6505646416094275,0.23602435652784468,102.96400273573663,1
7,1953,400,400,17,True,0.1496252092897539,0.0287280473619792,0.643931474124652,0.2405046961664729,110.36277385998352,1
8,1953,400,400,18,True,0.15407767726791208,0.02887977565652059,0.6401561473716707,0.2458218814103013,106.3016697135447,1
9,1953,400,400,16,True,0.14611038448529098,0.028457253060561735,0.6531379747095465,0.2314459624438627,107.64004751964521,1
10,1953,400,400,16,True,0.14034604777312562,0.027765310127587543,0.6460200224572633,0.2361954627913845,112.4931352353566,1
