d_s,slope,stderr_slope,r,n_fit,b,n_nodes_sub
0.21520252396872888,0.10760126198436444,0.02490634630712326,0.86990498266501,8,1,2604
0.22744353841788467,0.11372176920894234,0.025677087324056387,0.8584833811290128,9,2,2604
0.21149810995018584,0.10574905497509292,0.02469039319139211,0.8680633350145873,8,3,2604
0.22245070329609049,0.11122535164804524,0.02538202395271582,0.8560658284342921,9,4,2604
0.227285624881068,0.113642812440534,0.025740242325213034,0.8577705462738028,9,5,2604
0.23890705049298494,0.11945352524649247,0.026513231038357808,0.8469377532451229,10,6,2604
0.22628909449681658,0.11314454724840829,0.025594452734165187,0.8580617568043193,9,7,2604
0.22644729876205108,0.11322364938102554,0.025672696262375068,0.8575284083971491,9,8,2604
0.23764243331939258,0.11882121665969629,0.02636781354597444,0.8469838154625204,10,9,2604
0.2216759159208822,0.1108379579604411,0.025280337805670846,0.8561859106100929,9,10,2604
0.20076669775906103,0.10038334887953052,0.02402901592503696,0.8626476640284084,8,11,2604
0.22859389342547082,0.11429694671273541,0.025760977843325997,0.8588855697800584,9,12,2604
0.22490415905682595,0.11245207952841298,0.02537665696705518,0.858605636691575,9,13,2604
0.19756540941459638,0.09878270470729819,0.023709879811873235,0.8620500004745691,8,14,2604
0.22520491710452656,0.11260245855226328,0.02545556458775453,0.8582062232012377,9,15,2604
0.22872666770346295,0.11436333385173147,0.025673505414817575,0.8597805400628927,9,16,2604
0.22787462801567945,0.11393731400783973,0.025836625065219023,0.8575098715967604,9,17,2604
0.23122856092096558,0.11561428046048279,0.025937108249792958,0.8599293138544342,9,18,2604
0.22040824174553925,0.11020412087276962,0.025267992667499416,0.8549830094733859,9,19,2604
0.2168847892327548,0.1084423946163774,0.025011196557977015,0.8536212013780692,9,20,2604
0.2259351745124769,0.11296758725623846,0.025601652152535605,0.8576434359037467,9,21,2604
0.23004762695273642,0.11502381347636821,0.025760787381778606,0.8603099777497366,9,22,2604
0.22505915867610787,0.11252957933805394,0.02550041904705566,0.8576609389247769,9,23,2604
0.22370003719183498,0.11185001859591749,0.025507053819431635,0.8562228084418584,9,24,2604
0.20962457428890183,0.10481228714445091,0.024629160777466352,0.866685350701785,8,25,2604
0.22800912135147333,0.11400456067573667,0.025711002747389623,0.8587459295751758,9,26,2604
0.20983780022704152,0.10491890011352076,0.024459329721210038,0.8511226077738294,9,27,2604
0.22147684756394012,0.11073842378197006,0.025265292402214905,0.8561166231743003,9,28,2604
0.22385292402207085,0.11192646201103543,0.02543813599323044,0.8569956086325577,9,29,2604
0.2223202111896197,0.11116010559480985,0.025365879023427733,0.856077147838011,9,30,2604
0.20479328294921356,0.10239664147460678,0.024335006771918726,0.8642304699910469,8,31,2604
0.22709015123428708,0.11354507561714354,0.02577759431913617,0.8572461522021136,9,32,2604
0.2203695999739456,0.1101847999869728,0.025229578273042858,0.8552923559622201,9,33,2604
0.21542614464811685,0.10771307232405843,0.0249366657554822,0.8698673062088622,8,34,2604
0.22965918973610397,0.11482959486805198,0.0258330093480129,0.8593035109505922,9,35,2604
0.2136762223621447,0.10683811118107235,0.02492312652573996,0.8682480657721987,8,36,2604
0.2269494145273616,0.1134747072636808,0.02569050363658707,0.8578733857492351,9,37,2604
0.2207841575107351,0.11039207875536755,0.025109198166535167,0.8568160837353953,9,38,2604
0.20912241098685758,0.10456120549342879,0.024566542390382792,0.8667171123605343,8,39,2604
0.21846054834067127,0.10923027417033564,0.025090905891510605,0.8545586618708628,9,40,2604
0.2005968879902694,0.1002984439951347,0.023867747271163104,0.8639423989690586,8,41,2604
0.2255239959652953,0.11276199798264765,0.02555188882092974,0.8576715781158614,9,42,2604
0.2159700076239225,0.10798500381196124,0.024973804482008838,0.8700858547186754,8,43,2604
0.23071048607704722,0.11535524303852361,0.026004678329327756,0.8588407258127373,9,44,2604
0.2160864928651502,0.1080432464325751,0.024866706756805,0.8541084231514288,9,45,2604
0.22527230944133547,0.11263615472066774,0.02570414963083317,0.8560642681842632,9,46,2604
0.22902028197879024,0.11451014098939512,0.026023677991711645,0.8570101664572173,9,47,2604
0.23017966258179118,0.11508983129089559,0.025874242328796832,0.8594538031883586,9,48,2604
0.2223321843419517,0.11116609217097585,0.025318341990835457,0.8565179243751095,9,49,2604
0.19923098672230846,0.09961549336115423,0.023865186745959593,0.8624627739490565,8,50,2604
0.22457152529380897,0.11228576264690449,0.025580817526527286,0.8564512961772174,9,51,2604
0.21009006317732407,0.10504503158866203,0.024673156014181793,0.8667788029829023,8,52,2604
0.20222584243456804,0.10111292121728402,0.024044503593423902,0.8640977537294828,8,53,2604
0.22602555837948285,0.11301277918974142,0.02561857579918554,0.8575842640715994,9,54,2604
0.20405382059471436,0.10202691029735718,0.02411645051345705,0.865408678822378,8,55,2604
0.2226960471773849,0.11134802358869245,0.025442519633014908,0.8557732664361919,9,56,2604
0.21168272473201424,0.10584136236600712,0.02483630569007429,0.8669859615915557,8,57,2604
0.22897413534561017,0.11448706767280509,0.02583415849619739,0.8586207188439494,9,58,2604
0.2102667338889241,0.10513336694446206,0.024528371146647302,0.8682225657987039,8,59,2604
0.22940498607917478,0.11470249303958739,0.025899953366495733,0.8584709166642994,9,60,2604
0.2334052743781884,0.1167026371890942,0.026145031524516683,0.8602393731681534,9,61,2604
0.2272743978557905,0.11363719892789526,0.025723624563705735,0.8579056720485798,9,62,2604
0.20768616240636537,0.10384308120318268,0.024312113517099422,0.8501185825678227,9,63,2604
0.2262743272146201,0.11313716360731005,0.025558244863560873,0.8583671023520814,9,64,2604
0.22225853014780414,0.11112926507390207,0.02537330318224652,0.8559467248864091,9,65,2604
0.2046464989131795,0.10232324945658974,0.024132853975475932,0.8658904435300464,8,66,2604
0.22898442902864857,0.11449221451432429,0.02586608046073957,0.8583520526176229,9,67,2604
0.2213350488332471,0.11066752441662354,0.02529853086566391,0.8556690748831406,9,68,2604
0.2227934172415334,0.1113967086207667,0.02542121908872102,0.8560650110143192,9,69,2604
0.22411930482466913,0.11205965241233456,0.025623411407362424,0.8556096621505102,9,70,2604
0.22581960194772482,0.11290980097386241,0.02565328036498056,0.8570696094844158,9,71,2604
0.22253385744549736,0.11126692872274868,0.025510647501762854,0.8549922908832164,9,72,2604
0.21630085719704997,0.10815042859852499,0.02511134764509414,0.8692463033364816,8,73,2604
0.20593502489334375,0.10296751244667188,0.024265114128624705,0.8660660935630968,8,74,2604
0.22115706352883577,0.11057853176441788,0.025323891528240897,0.8552546421817865,9,75,2604
0.21909333652627436,0.10954666826313718,0.025218463576066233,0.8540558552035186,9,76,2604
0.22028738338889825,0.11014369169444913,0.02538363963980388,0.8708274416814457,8,77,2604
0.20720317202508415,0.10360158601254207,0.024452729855855584,0.865727429887779,8,78,2604
0.2239406094297209,0.11197030471486046,0.025515721163173067,0.8563907130586355,9,79,2604
0.21205253228395046,0.10602626614197523,0.024808752644502115,0.8675996517765104,8,80,2604
0.23021329208333183,0.11510664604166591,0.02586936500650518,0.8595289441291912,9,81,2604
0.2233267962847107,0.11166339814235535,0.025366620884492697,0.857100767918898,9,82,2604
0.22323429971095654,0.11161714985547827,0.025448051648296787,0.8562757486024041,9,83,2604
0.21235680560827694,0.10617840280413847,0.0247742800099651,0.8682044933652654,8,84,2604
0.22985506269997882,0.11492753134998941,0.02565965428330043,0.8610008680302143,9,85,2604
0.21208269524989148,0.10604134762494574,0.02486346321909146,0.8671570067725465,8,86,2604
0.21790874760050544,0.10895437380025272,0.025029526284609912,0.8545402742169493,9,87,2604
0.21133108652478905,0.10566554326239452,0.02474782573279826,0.8673959135883449,8,88,2604
0.20941204154527507,0.10470602077263753,0.024649331250754605,0.8662895502649917,8,89,2604
0.22030549767631968,0.11015274883815984,0.025185751536077303,0.8556244961118472,9,90,2604
