lambda,N_lambda,log_lambda,log_N
3.2129902711269156e-09,1,-19.55606378478898,0.0
0.0032902532167647,2,-5.716790751584579,0.6931471805599453
0.0109410140878511,3,-4.515236790868251,1.0986122886681098
0.024765042845079,4,-3.6983221828776545,1.3862943611198906
0.0407505001451695,5,-3.2002871658694922,1.6094379124341003
0.0545413068441677,6,-2.9087969406458978,1.791759469228055
0.0706766919272215,7,-2.6496394361457467,1.9459101490553132
0.0773914690607746,8,-2.558878723314041,2.0794415416798357
0.0904628733706989,9,-2.4028157514450976,2.1972245773362196
0.0936048670056163,10,-2.368672898927185,2.302585092994046
