lambda,N_lambda
4.7193152632324376e-09,1
0.0037411968204131858,2
0.01261040298091651,3
0.028562463959255865,4
0.050255625897784297,5
0.06487639930288389,6
0.08175405890206178,7
0.09220936711118066,8
0.10436673049924834,9
0.1185318044494535,10
0.13087208141738735,11
0.14189326078651124,12
0.14987486236693473,13
0.16573697072392143,14
0.1746041570782641,15
0.19832357944742607,16
0.2065087890486666,17
0.21322659661643845,18
0.22355396855714868,19
0.22973856405413945,20
0.23382226908842277,21
0.23968311675782672,22
0.24575229268543017,23
0.2661092940111808,24
0.27397622373169594,25
0.2756765550337461,26
0.27762134531401284,27
0.2892798739460414,28
0.2894897585315074,29
0.29227053278636367,30
0.29384237728260093,31
0.302343004205272,32
0.30866206129638596,33
0.3117166255718782,34
0.32035103297804923,35
0.32358107959264537,36
0.3284809984205759,37
0.33714930926732506,38
0.3420890699362576,39
0.3427304894738639,40
0.3487596386200069,41
0.3537424593850439,42
0.3589904768855663,43
0.36492505052384666,44
0.3675740968107036,45
0.36818081710693434,46
0.36935503564838684,47
0.3738286906428808,48
0.37695736664916435,49
0.37904165704326187,50
0.380809716985982,51
0.38412533384853303,52
0.3872197816944548,53
0.3904944548384076,54
0.39328328764402065,55
0.39426506679639567,56
0.3969921444092175,57
0.40429307164737266,58
0.4045740481151899,59
0.41073334474033113,60
0.4128489985376272,61
0.41639401234908135,62
0.41861038382398413,63
0.41966826269149066,64
0.42306455147787453,65
0.42477722017637315,66
0.426411430029402,67
0.42981943682102575,68
0.430964723836098,69
0.4316094421688034,70
0.4322552808388279,71
0.4340929225634921,72
0.43609641848716313,73
0.4407701505440734,74
0.4423878582682723,75
0.4454922136936758,76
0.4486860958272039,77
0.45046638857279797,78
0.45343947166565074,79
0.45403190351611333,80
0.45893228675816844,81
0.4597329392260173,82
0.4635532773016803,83
0.46431326228204733,84
0.46798144550982856,85
0.46993795307547925,86
0.47274799771255127,87
0.4738142659524901,88
0.4776227559349235,89
0.4796598212636006,90
0.480956294308406,91
0.4831963917028984,92
0.4850000713853348,93
0.4883033925302125,94
0.48906575966003635,95
0.48954352318779193,96
0.49076974014841945,97
0.4916985020390238,98
0.4932801841071076,99
0.4957664995675996,100
0.4990226409331584,101
0.5019185000808156,102
0.5030366076734306,103
0.5044999246589867,104
0.5062795617676176,105
0.5089005658796225,106
0.5099445947959924,107
0.5107321822029016,108
0.5124168753627614,109
0.5144163117453248,110
0.5170696229924595,111
0.51920667948539,112
0.5213982115642946,113
0.5228439314859923,114
0.5236534055949137,115
0.5259895657300591,116
0.5272819646612668,117
0.5311114988803488,118
0.5326776860459117,119
0.5349474736456344,120
0.5371008757350734,121
0.53819584461099,122
0.5418547311905618,123
0.5434648320453158,124
0.5452377902434339,125
0.5462830498896569,126
0.5470548447806569,127
0.5488344515328182,128
0.5509034649394429,129
0.553124643369352,130
0.5559762972828178,131
0.557674831426832,132
0.559757437817828,133
0.562032893816488,134
0.562178369995667,135
0.5627488967952456,136
0.5643713821639231,137
