b,levina_mle,theilsen_d_s,abs_diff,n_lambda,n_points_fit,n_influential
140,8.032576294184048,1.3810403118386123,6.651535982345436,400,15,1
25,8.012839157037629,1.4256241962568443,6.587214960780784,400,16,1
129,8.005614820319174,1.4444112609834163,6.561203559335757,400,16,1
26,8.007720764647399,1.4503465854165052,6.5573741792308935,400,16,1
9,8.001736138992808,1.454046699405978,6.547689439586829,400,16,1
137,7.982308579603174,1.4452680371138265,6.537040542489348,400,16,1
150,8.019736022282547,1.4917080101881794,6.528028012094368,400,16,1
15,7.957421497724733,1.4392787591149636,6.518142738609769,400,16,1
64,8.038525491408322,1.52043532326542,6.518090168142902,400,16,1
124,7.992109037706336,1.474476348067739,6.517632689638597,400,15,1
