b,lambda_max,levina_mle,theilsen_slope,theilsen_d_s,n_points_fit,fit_ok,abs_diff
140,0.2,8.032576294184048,0.6905201559193062,1.3810403118386123,15,True,6.651535982345436
25,0.2,8.012839157037629,0.7128120981284222,1.4256241962568443,16,True,6.587214960780784
129,0.2,8.005614820319174,0.7222056304917082,1.4444112609834163,16,True,6.561203559335757
26,0.2,8.007720764647399,0.7251732927082526,1.4503465854165052,16,True,6.5573741792308935
9,0.2,8.001736138992808,0.727023349702989,1.454046699405978,16,True,6.547689439586829
137,0.2,7.982308579603174,0.7226340185569132,1.4452680371138265,16,True,6.537040542489348
150,0.2,8.019736022282547,0.7458540050940897,1.4917080101881794,16,True,6.528028012094368
15,0.2,7.957421497724733,0.7196393795574818,1.4392787591149636,16,True,6.518142738609769
64,0.2,8.038525491408322,0.76021766163271,1.52043532326542,16,True,6.518090168142902
124,0.2,7.992109037706336,0.7372381740338695,1.474476348067739,15,True,6.517632689638597
