month,n,T_log,regime
2001-01,28,0.0,Equilibrium
2002-01,25,0.0,Equilibrium
2003-01,31,0.0,Equilibrium
2004-01,32,0.0,Equilibrium
2005-01,28,0.0,Equilibrium
2006-01,26,0.0,Equilibrium
2007-01,37,0.0,Equilibrium
2008-01,25,0.0,Equilibrium
2009-01,26,0.0,Equilibrium
2010-01,41,0.0,Equilibrium
2011-01,34,0.0,Equilibrium
2012-01,31,0.0,Equilibrium
2013-01,53,0.0,Equilibrium
2014-01,48,0.0,Equilibrium
2015-01,53,0.0,Equilibrium
2016-01,43,0.0,Equilibrium
2017-01,36,0.0,Equilibrium
2018-01,43,0.0,Equilibrium
2019-01,33,0.0,Equilibrium
2020-01,27,0.0,Equilibrium
2021-01,42,0.0,Equilibrium
2022-01,40,0.0,Equilibrium
