year,n,T_log,regime
2001,28,0.0,Equilibrium
2002,25,0.0,Equilibrium
2003,31,0.0,Equilibrium
2004,32,0.0,Equilibrium
2005,28,0.0,Equilibrium
2006,26,0.0,Equilibrium
2007,37,0.0,Equilibrium
2008,25,0.0,Equilibrium
2009,26,0.0,Equilibrium
2010,41,0.0,Equilibrium
2011,34,0.0,Equilibrium
2012,31,0.0,Equilibrium
2013,53,0.0,Equilibrium
2014,48,0.0,Equilibrium
2015,53,0.0,Equilibrium
2016,43,0.0,Equilibrium
2017,36,0.0,Equilibrium
2018,43,0.0,Equilibrium
2019,33,0.0,Equilibrium
2020,27,0.0,Equilibrium
2021,42,0.0,Equilibrium
2022,40,0.0,Equilibrium
