d,T_log,Regime
3.9,-0.6661854740545318,Divergence
3.905,-0.6328762003518059,Divergence
3.91,-0.5995669266490771,Divergence
3.915,-0.5662576529463512,Divergence
3.92,-0.5329483792436254,Divergence
3.925,-0.4996391055408995,Divergence
3.93,-0.4663298318381707,Divergence
3.935,-0.4330205581354449,Divergence
3.94,-0.399711284432719,Divergence
3.945,-0.3664020107299932,Divergence
3.95,-0.3330927370272644,Divergence
3.955,-0.29978346332453853,Divergence
3.96,-0.2664741896218127,Divergence
3.965,-0.23316491591908683,Divergence
3.97,-0.19985564221635804,Divergence
3.975,-0.1665463685136322,Divergence
3.98,-0.13323709481090634,Divergence
3.985,-0.09992782110818049,Divergence
3.99,-0.06661854740545169,Divergence
3.995,-0.03330927370272584,Divergence
4.0,0.0,Equilibrium
4.005,0.03330927370272584,Saturation
4.01,0.06661854740545169,Saturation
4.015,0.09992782110817754,Saturation
4.02,0.13323709481090337,Saturation
4.025,0.16654636851363513,Saturation
4.03,0.19985564221636098,Saturation
4.035,0.23316491591908683,Saturation
4.04,0.2664741896218127,Saturation
4.045,0.29978346332453853,Saturation
4.05,0.3330927370272644,Saturation
4.055,0.36640201072999024,Saturation
4.06,0.3997112844327161,Saturation
4.065,0.4330205581354478,Saturation
4.07,0.46632983183817367,Saturation
4.075,0.4996391055408995,Saturation
4.08,0.5329483792436254,Saturation
4.085,0.5662576529463512,Saturation
4.09,0.5995669266490771,Saturation
4.095,0.6328762003518029,Saturation
4.1,0.6661854740545288,Saturation
