left_out_city,d_part,d_pca90,d_est,d_est_clipped,T_log,n_used
Beijing_China_39.9042_116.4074,3.714015851740795,4,3.8570079258703975,3.8570079258703975,-0.42103143677905863,19
Berlin_Germany_52.52_13.405,3.7692759871850114,4,3.8846379935925057,3.8846379935925057,-0.3396763883810748,19
Chicago_USA_41.8781_-87.6298,3.7578542740608873,4,3.878927137030444,3.878927137030444,-0.3564916570468381,19
Dallas_USA_32.7767_-96.797,3.707425776473003,4,3.8537128882365015,3.8537128882365015,-0.4307334740261225,19
Delhi_India_28.7041_77.1025,3.6673760307274477,4,3.833688015363724,3.833688015363724,-0.489695490265581,19
Houston_USA_29.7604_-95.3698,3.659326471496699,4,3.8296632357483498,3.8296632357483498,-0.5015462082476436,19
Lagos_Nigeria_6.5244_3.3792,3.7822920943870377,4,3.891146047193519,3.891146047193519,-0.3205138216797472,19
London_UK_51.5074_-0.1278,3.784956460540523,4,3.892478230270261,3.892478230270261,-0.3165912899012012,19
Los Angeles_USA_34.0522_-118.2437,3.7369868504547474,4,3.8684934252273737,3.8684934252273737,-0.38721308477718686,19
Mexico City_Mexico_19.4326_-99.1332,3.8894938463168467,4,3.9447469231584233,3.9447469231584233,-0.16268931317121685,19
Mumbai_India_19.076_72.8777,3.8021659662658136,4,3.901082983132907,3.901082983132907,-0.2912551201663334,19
New York_USA_40.7128_-74.006,3.7805483417543853,4,3.8902741708771926,3.8902741708771926,-0.3230810082905502,19
Paris_France_48.8566_2.3522,3.8084421036159846,4,3.9042210518079923,3.9042210518079923,-0.2820152684401106,19
Philadelphia_USA_39.9526_-75.1652,3.7802862212565183,4,3.890143110628259,3.890143110628259,-0.32346690719612925,19
Phoenix_USA_33.4484_-112.074,3.741074202990982,4,3.870537101495491,3.870537101495491,-0.38119560471254554,19
San Antonio_USA_29.4241_-98.4936,3.714633036361866,4,3.857316518180933,3.857316518180933,-0.4201228055512476,19
San Diego_USA_32.7157_-117.1611,3.6957197224187492,4,3.8478598612093746,3.8478598612093746,-0.4479673549509095,19
San Jose_USA_37.3382_-121.8863,3.679598685601971,4,3.8397993428009856,3.8397993428009856,-0.4717010595448589,19
São Paulo_Brazil_-23.5505_-46.6333,3.8181125285557895,4,3.9090562642778948,3.9090562642778948,-0.26777828037117807,19
Tokyo_Japan_35.6762_139.6503,3.6807483209062553,4,3.840374160453128,3.840374160453128,-0.47000854404397824,19
