window_type,window_center,pipeline,n_cities,d_part,d_pca90,d_est,d_clipped,T_log
3yr,1980.0,A,20,3.9115730957581136,4,3.9557865478790566,3.9557865478790566,-0.13245166544394432
3yr,1980.0,B,20,3.8982875953765257,4,3.949143797688263,3.949143797688263,-0.15235156657566207
3yr,1980.0,C,20,3.9115730957581154,4,3.9557865478790575,3.9557865478790575,-0.13245166544394166
3yr,1980.5,A,20,3.740991686082112,4,3.870495843041056,3.870495843041056,-0.3879597825613099
3yr,1980.5,B,20,3.724195708054682,4,3.8620978540273407,3.8620978540273407,-0.41311790928264885
3yr,1980.5,C,20,3.7409916860821113,4,3.8704958430410557,3.8704958430410557,-0.38795978256131125
3yr,1981.0,A,20,3.800593676789515,4,3.9002968383947576,3.9002968383947576,-0.29868397899619376
3yr,1981.0,B,20,3.7927356231306986,4,3.8963678115653493,3.8963678115653493,-0.3104542914727118
3yr,1981.0,C,20,3.8005936767895157,4,3.900296838394758,3.900296838394758,-0.2986839789961924
3yr,1981.5,A,20,3.717799840560408,4,3.858899920280204,3.858899920280204,-0.4226980626176335
3yr,1981.5,B,20,3.7027719280191005,4,3.85138596400955,3.85138596400955,-0.44520786391970535
3yr,1981.5,C,20,3.71779984056041,4,3.858899920280205,3.858899920280205,-0.4226980626176308
3yr,1982.0,A,20,3.7386524388704117,4,3.869326219435206,3.869326219435206,-0.3914636617452655
3yr,1982.0,B,20,3.7286306476072335,4,3.8643153238036168,3.8643153238036168,-0.40647496350822826
3yr,1982.0,C,20,3.7386524388704103,4,3.869326219435205,3.869326219435205,-0.39146366174526814
3yr,1982.5,A,20,3.7743802181219954,4,3.887190109060998,3.887190109060998,-0.3379482310620744
3yr,1982.5,B,20,3.7603289843700964,4,3.880164492185048,3.880164492185048,-0.3589950982789832
3yr,1982.5,C,20,3.7743802181219945,4,3.887190109060997,3.887190109060997,-0.33794823106207705
3yr,1983.0,A,20,3.5712910733800234,4,3.7856455366900117,3.7856455366900117,-0.6421485837180768
3yr,1983.0,B,20,3.553708423581908,4,3.776854211790954,3.776854211790954,-0.6684850394454832
3yr,1983.0,C,20,3.571291073380022,4,3.7856455366900112,3.7856455366900112,-0.6421485837180781
3yr,1983.5,A,20,3.86071416281546,4,3.93035708140773,3.93035708140773,-0.20863153885135588
3yr,1983.5,B,20,3.8576503364855648,4,3.928825168242782,3.928825168242782,-0.21322074055987297
3yr,1983.5,C,20,3.86071416281546,4,3.93035708140773,3.93035708140773,-0.20863153885135588
3yr,1984.0,A,20,4.046056630339369,4,4.023028315169684,4.023028315169684,0.06898666695939584
3yr,1984.0,B,20,4.038058047390657,4,4.019029023695328,4.019029023695328,0.05700586041831803
3yr,1984.0,C,20,4.046056630339368,4,4.023028315169684,4.023028315169684,0.06898666695939584
3yr,1984.5,A,20,3.7640474711830536,4,3.8820237355915266,3.8820237355915266,-0.35342530280180284
3yr,1984.5,B,20,3.748289088381365,4,3.8741445441906825,3.8741445441906825,-0.3770292507708204
3yr,1984.5,C,20,3.7640474711830505,4,3.8820237355915252,3.8820237355915252,-0.35342530280180684
3yr,1985.0,A,20,3.689536130715101,4,3.8447680653575507,3.8447680653575507,-0.4650333164946093
3yr,1985.0,B,20,3.694316574357697,4,3.8471582871788486,3.8471582871788486,-0.45787285184359416
3yr,1985.0,C,20,3.6895361307150982,4,3.844768065357549,3.844768065357549,-0.46503331649461455
3yr,1985.5,A,20,3.8168919073995853,4,3.9084459536997924,3.9084459536997924,-0.2742714112759882
3yr,1985.5,B,20,3.8207195240113307,4,3.9103597620056654,3.9103597620056654,-0.2685381539686889
3yr,1985.5,C,20,3.8168919073995866,4,3.9084459536997933,3.9084459536997933,-0.27427141127598553
3yr,1986.0,A,20,3.5235030992680865,4,3.7617515496340435,3.7617515496340435,-0.7137285718855222
3yr,1986.0,B,20,3.530123379407267,4,3.7650616897036335,3.7650616897036335,-0.7038122784490669
3yr,1986.0,C,20,3.523503099268088,4,3.761751549634044,3.761751549634044,-0.7137285718855209
3yr,1986.5,A,20,3.546592878929256,4,3.773296439464628,3.773296439464628,-0.6791431728254147
3yr,1986.5,B,20,3.538453420466699,4,3.769226710233349,3.769226710233349,-0.6913349920281827
3yr,1986.5,C,20,3.5465928789292565,4,3.7732964394646284,3.7732964394646284,-0.6791431728254134
3yr,1987.0,A,20,3.6543304348003094,4,3.8271652174001547,3.8271652174001547,-0.5177667362270443
3yr,1987.0,B,20,3.642127134415371,4,3.821063567207686,3.821063567207686,-0.5360456466305603
3yr,1987.0,C,20,3.654330434800309,4,3.8271652174001547,3.8271652174001547,-0.5177667362270443
3yr,1987.5,A,20,3.7558616695601943,4,3.877930834780097,3.877930834780097,-0.36568653785505734
3yr,1987.5,B,20,3.7431694586608426,4,3.8715847293304213,3.8715847293304213,-0.3846977707620281
3yr,1987.5,C,20,3.755861669560194,4,3.8779308347800967,3.8779308347800967,-0.36568653785505867
3yr,1988.0,A,20,3.964855714770711,4,3.9824278573853555,3.9824278573853555,-0.05264143474618382
3yr,1988.0,B,20,3.9476518098743023,4,3.973825904937151,3.973825904937151,-0.07841058131084645
3yr,1988.0,C,20,3.9648557147707124,4,3.982427857385356,3.982427857385356,-0.052641434746182485
3yr,1988.5,A,20,3.898378265220924,4,3.949189132610462,3.949189132610462,-0.15221575528611164
3yr,1988.5,B,20,3.884073614239865,4,3.9420368071199325,3.9420368071199325,-0.173642207589053
3yr,1988.5,C,20,3.8983782652209236,4,3.949189132610462,3.949189132610462,-0.15221575528611164
3yr,1989.0,A,20,3.8308001826362466,4,3.9154000913181233,3.9154000913181233,-0.25343867677801857
3yr,1989.0,B,20,3.8222292376606437,4,3.9111146188303216,3.9111146188303216,-0.2662768050171537
3yr,1989.0,C,20,3.8308001826362466,4,3.9154000913181233,3.9154000913181233,-0.25343867677801857
3yr,1989.5,A,20,3.794006082198826,4,3.897003041099413,3.897003041099413,-0.3085513138564025
3yr,1989.5,B,20,3.7792174853101734,4,3.8896087426550867,3.8896087426550867,-0.33070265234636076
3yr,1989.5,C,20,3.7940060821988255,4,3.8970030410994125,3.8970030410994125,-0.30855131385640383
3yr,1990.0,A,20,3.6551742835735883,4,3.827587141786794,3.827587141786794,-0.516502763724989
3yr,1990.0,B,20,3.639652452851972,4,3.819826226425986,3.819826226425986,-0.5397523883436832
3yr,1990.0,C,20,3.6551742835735888,4,3.827587141786794,3.827587141786794,-0.516502763724989
3yr,1990.5,A,20,3.5699286589197192,4,3.78496432945986,3.78496432945986,-0.644189298202421
3yr,1990.5,B,20,3.556751933058848,4,3.778375966529424,3.778375966529424,-0.6639262696630142
3yr,1990.5,C,20,3.5699286589197183,4,3.784964329459859,3.784964329459859,-0.6441892982024237
3yr,1991.0,A,20,3.6368857786865485,4,3.8184428893432742,3.8184428893432742,-0.5438964958875665
3yr,1991.0,B,20,3.6421059795437163,4,3.821052989771858,3.821052989771858,-0.5360773337964406
3yr,1991.0,C,20,3.636885778686552,4,3.818442889343276,3.818442889343276,-0.5438964958875612
3yr,1991.5,A,20,3.8151360211559235,4,3.907568010577962,3.907568010577962,-0.27690149382040036
3yr,1991.5,B,20,3.8123359878872836,4,3.906167993943642,3.906167993943642,-0.2810955688353452
3yr,1991.5,C,20,3.8151360211559258,4,3.907568010577963,3.907568010577963,-0.2769014938203977
3yr,1992.0,A,20,3.9557135094318836,4,3.977856754715942,3.977856754715942,-0.06633523453867536
3yr,1992.0,B,20,3.941331686429976,4,3.970665843214988,3.970665843214988,-0.08787728019835339
3yr,1992.0,C,20,3.955713509431886,4,3.977856754715943,3.977856754715943,-0.06633523453867136
3yr,1992.5,A,20,3.951885825442846,4,3.9759429127214228,3.9759429127214228,-0.07206859276813901
3yr,1992.5,B,20,3.9369983815710055,4,3.9684991907855025,3.9684991907855025,-0.09436799080693709
3yr,1992.5,C,20,3.9518858254428486,4,3.9759429127214245,3.9759429127214245,-0.0720685927681337
3yr,1993.0,A,20,3.749807693358488,4,3.874903846679244,3.874903846679244,-0.37475458380044757
3yr,1993.0,B,20,3.7301893185271,4,3.86509465926355,3.86509465926355,-0.40414028311898115
3yr,1993.0,C,20,3.749807693358489,4,3.8749038466792447,3.8749038466792447,-0.3747545838004449
3yr,1993.5,A,20,3.4888695404538232,4,3.7444347702269116,3.7444347702269116,-0.7656050068294821
3yr,1993.5,B,20,3.4754352042244108,4,3.7377176021122054,3.7377176021122054,-0.7857278441375954
3yr,1993.5,C,20,3.488869540453823,4,3.7444347702269116,3.7444347702269116,-0.7656050068294821
3yr,1994.0,A,20,3.392936297211147,4,3.6964681486055735,3.6964681486055735,-0.9093001632738774
3yr,1994.0,B,20,3.3724332716479366,4,3.6862166358239685,3.6862166358239685,-0.9400109509664827
3yr,1994.0,C,20,3.392936297211146,4,3.696468148605573,3.696468148605573,-0.9093001632738787
3yr,1994.5,A,20,3.439597032352429,4,3.7197985161762146,3.7197985161762146,-0.8394086281886304
