window_type,window_center,pipeline,n_cities,d_part,d_pca90,d_est,d_clipped,T_log
annual,1980.0,A,20,3.8258058650004774,4,3.9129029325002387,3.9129029325002387,-0.2609194960409454
annual,1980.0,B,20,3.8052339633104726,4,3.9026169816552363,3.9026169816552363,-0.291733450951509
annual,1980.0,C,20,3.8258058650004783,4,3.912902932500239,3.912902932500239,-0.26091949604094405
annual,1981.0,A,20,3.823321422075062,4,3.911660711037531,3.911660711037531,-0.26464085896768025
annual,1981.0,B,20,3.812547961274418,4,3.9062739806372093,3.9062739806372093,-0.2807780610768583
annual,1981.0,C,20,3.8233214220750624,4,3.9116607110375314,3.9116607110375314,-0.2646408589676789
annual,1982.0,A,20,3.907335138613925,4,3.9536675693069627,3.9536675693069627,-0.13879955793933527
annual,1982.0,B,20,3.8839557119951076,4,3.941977855997554,3.941977855997554,-0.17381880936892524
annual,1982.0,C,20,3.9073351386139272,4,3.9536675693069636,3.9536675693069636,-0.1387995579393326
annual,1983.0,A,20,3.641350382800708,4,3.820675191400354,3.820675191400354,-0.5372091165708522
annual,1983.0,B,20,3.6302939525746827,4,3.815146976287341,3.815146976287341,-0.5537701690000534
annual,1983.0,C,20,3.641350382800707,4,3.820675191400354,3.820675191400354,-0.5372091165708522
annual,1984.0,A,20,3.8478150584970057,4,3.9239075292485026,3.9239075292485026,-0.2279526704047238
annual,1984.0,B,20,3.837135345604692,4,3.9185676728023457,3.9185676728023457,-0.24394945069662127
annual,1984.0,C,20,3.8478150584970057,4,3.9239075292485026,3.9239075292485026,-0.2279526704047238
annual,1985.0,A,20,3.556728043950547,4,3.7783640219752734,3.7783640219752734,-0.6639620523493764
annual,1985.0,B,20,3.5310886396750374,4,3.7655443198375185,3.7655443198375185,-0.7023664477807982
annual,1985.0,C,20,3.5567280439505464,4,3.778364021975273,3.778364021975273,-0.6639620523493778
annual,1986.0,A,20,3.7560566495281065,4,3.8780283247640535,3.8780283247640535,-0.3653944839637711
annual,1986.0,B,20,3.757012761036832,4,3.8785063805184157,3.8785063805184157,-0.36396235691187007
annual,1986.0,C,20,3.7560566495281056,4,3.8780283247640526,3.8780283247640526,-0.3653944839637738
annual,1987.0,A,20,3.732801679376949,4,3.866400839688475,3.866400839688475,-0.40022731626494945
annual,1987.0,B,20,3.734206732856999,4,3.8671033664284993,3.8671033664284993,-0.3981227342368235
annual,1987.0,C,20,3.7328016793769523,4,3.866400839688476,3.866400839688476,-0.40022731626494545
annual,1988.0,A,20,3.8751492465382333,4,3.937574623269117,3.937574623269117,-0.18700971576147285
annual,1988.0,B,20,3.85407159325516,4,3.92703579662758,3.92703579662758,-0.21858121885691567
annual,1988.0,C,20,3.875149246538232,4,3.937574623269116,3.937574623269116,-0.18700971576147551
annual,1989.0,A,20,3.929308014137289,4,3.9646540070686447,3.9646540070686447,-0.10588713176527235
annual,1989.0,B,20,3.8951248350408907,4,3.9475624175204453,3.9475624175204453,-0.15708895818115118
annual,1989.0,C,20,3.929308014137289,4,3.9646540070686447,3.9646540070686447,-0.10588713176527235
annual,1990.0,A,20,3.8607273663323425,4,3.9303636831661715,3.9303636831661715,-0.2086117617505312
