window_type,window_center,pipeline,n_cities_window,median_obs_per_city,min_obs_per_city,coverage_frac_vs_full,d_part,d_pca90,d_est,T_log,regime,prop_high_mahalanobis_cities,source_file
3yr,1984.0,A,20,37.0,37.0,1.0,4.046056630339369,4.0,4.023028315169684,0.0689866669593958,Saturation,0.05,temporal_cv_3yr.csv
3yr,1984.0,B,20,37.0,37.0,1.0,4.038058047390657,4.0,4.019029023695328,0.057005860418318,Saturation,0.05,temporal_cv_3yr.csv
3yr,1984.0,C,20,37.0,37.0,1.0,4.046056630339368,4.0,4.023028315169684,0.0689866669593958,Saturation,0.05,temporal_cv_3yr.csv
3yr,2014.0,A,20,37.0,37.0,1.0,4.034187162579595,4.0,4.017093581289798,0.0512077931404654,Saturation,0.05,temporal_cv_3yr.csv
3yr,2014.0,B,20,37.0,37.0,1.0,4.021880039577878,4.0,4.010940019788939,0.0327733703550441,Saturation,0.05,temporal_cv_3yr.csv
3yr,2014.0,C,20,37.0,37.0,1.0,4.034187162579596,4.0,4.017093581289798,0.0512077931404654,Saturation,0.05,temporal_cv_3yr.csv
3yr,,A,0,,,0.0,,,,,Divergence,0.05,temporal_cv_3yr_stability.csv
3yr,,B,0,,,0.0,,,,,Divergence,0.05,temporal_cv_3yr_stability.csv
3yr,,C,0,,,0.0,,,,,Divergence,0.05,temporal_cv_3yr_stability.csv
annual,2003.0,A,20,13.0,13.0,1.0,4.007041598501552,4.0,4.003520799250776,0.0105473719442536,Saturation,0.05,temporal_cv_annual.csv
annual,2003.0,C,20,13.0,13.0,1.0,4.007041598501549,4.0,4.003520799250774,0.0105473719442483,Saturation,0.05,temporal_cv_annual.csv
annual,2008.0,A,20,13.0,13.0,1.0,4.097146236206648,4.0,4.048573118103324,0.1455120575292766,Saturation,0.05,temporal_cv_annual.csv
annual,2008.0,B,20,13.0,13.0,1.0,4.095210410818652,4.0,4.047605205409326,0.1426124502338845,Saturation,0.05,temporal_cv_annual.csv
annual,2008.0,C,20,13.0,13.0,1.0,4.09714623620665,4.0,4.0485731181033255,0.1455120575292819,Saturation,0.05,temporal_cv_annual.csv
annual,2012.0,A,20,13.0,13.0,1.0,4.035100312629002,4.0,4.017550156314501,0.0525755696772675,Saturation,0.05,temporal_cv_annual.csv
annual,2012.0,B,20,13.0,13.0,1.0,4.033117123662928,4.0,4.016558561831464,0.0496050180821555,Saturation,0.05,temporal_cv_annual.csv
annual,2012.0,C,20,13.0,13.0,1.0,4.035100312629004,4.0,4.017550156314502,0.0525755696772702,Saturation,0.05,temporal_cv_annual.csv
annual,2014.0,A,20,13.0,13.0,1.0,4.00959200027043,4.0,4.004796000135215,0.0143675323890334,Saturation,0.05,temporal_cv_annual.csv
annual,2014.0,C,20,13.0,13.0,1.0,4.009592000270431,4.0,4.004796000135215,0.0143675323890334,Saturation,0.05,temporal_cv_annual.csv
annual,2016.0,A,20,13.0,13.0,1.0,4.019821501753267,4.0,4.009910750876633,0.0296899562562841,Saturation,0.05,temporal_cv_annual.csv
annual,2016.0,B,20,13.0,13.0,1.0,4.010393935421168,4.0,4.005196967710583,0.0155687238952127,Saturation,0.05,temporal_cv_annual.csv
annual,2016.0,C,20,13.0,13.0,1.0,4.019821501753269,4.0,4.009910750876634,0.0296899562562868,Saturation,0.05,temporal_cv_annual.csv
annual,,A,0,,,0.0,,,,,Divergence,0.05,temporal_cv_annual_stability.csv
annual,,B,0,,,0.0,,,,,Divergence,0.05,temporal_cv_annual_stability.csv
annual,,C,0,,,0.0,,,,,Divergence,0.05,temporal_cv_annual_stability.csv
