city_key,n_obs,median_temperature_celsius,mean_temperature_celsius,frac_nan_temperature_celsius,median_humidity_percent,mean_humidity_percent,frac_nan_humidity_percent,median_precipitation_mm,mean_precipitation_mm,frac_nan_precipitation_mm,median_wind_speed_ms,mean_wind_speed_ms,frac_nan_wind_speed_ms,median_urban_heat_island_intensity,mean_urban_heat_island_intensity,frac_nan_urban_heat_island_intensity
Beijing_China_39.9042_116.4074,37,9.55,9.318648648648647,0.0,55.2,55.27837837837837,0.0,57.0,59.35675675675675,0.0,7.5,8.27837837837838,0.0,2.0,2.0,0.0
Berlin_Germany_52.52_13.405,37,-2.99,-1.667027027027027,0.0,60.6,59.975675675675674,0.0,55.1,62.80540540540541,0.0,8.5,8.256756756756758,0.0,1.0,1.0,0.0
São Paulo_Brazil_-23.5505_-46.6333,37,22.25,21.082702702702704,0.0,39.3,40.362162162162164,0.0,69.4,81.76216216216217,0.0,7.5,7.970270270270271,0.0,1.0,1.0,0.0
San Jose_USA_37.3382_-121.8863,37,10.04,10.554324324324325,0.0,36.3,35.21351351351352,0.0,57.0,60.01891891891893,0.0,9.2,8.59189189189189,0.0,1.0,1.0,0.0
San Diego_USA_32.7157_-117.1611,37,14.51,14.017027027027027,0.0,40.6,40.008108108108104,0.0,51.5,57.4945945945946,0.0,8.0,8.000000000000002,0.0,1.0,1.0,0.0
San Antonio_USA_29.4241_-98.4936,37,15.79,16.349189189189186,0.0,62.7,62.15135135135135,0.0,77.6,81.35405405405405,0.0,7.2,7.748648648648649,0.0,1.0,1.0,0.0
Phoenix_USA_33.4484_-112.074,37,12.77,13.702972972972974,0.0,49.3,49.37567567567568,0.0,52.3,56.8,0.0,8.3,8.029729729729729,0.0,1.0,1.0,0.0
Philadelphia_USA_39.9526_-75.1652,37,8.94,8.313243243243242,0.0,49.1,50.075675675675676,0.0,56.6,58.61621621621622,0.0,8.0,7.783783783783784,0.0,1.0,1.0,0.0
Paris_France_48.8566_2.3522,37,1.46,1.2972972972972974,0.0,53.7,53.77837837837837,0.0,51.1,60.60270270270269,0.0,7.3,7.959459459459461,0.0,1.0,1.0,0.0
New York_USA_40.7128_-74.006,37,9.27,8.80324324324324,0.0,47.8,49.58378378378379,0.0,49.8,59.208108108108114,0.0,7.4,7.916216216216216,0.0,2.0,2.0,0.0
Mumbai_India_19.076_72.8777,37,25.88,24.679729729729726,0.0,34.0,34.472972972972975,0.0,62.5,74.12432432432432,0.0,8.0,8.556756756756757,0.0,1.0,1.0,0.0
Mexico City_Mexico_19.4326_-99.1332,37,22.84,24.113783783783784,0.0,49.9,51.351351351351354,0.0,68.7,73.8945945945946,0.0,7.9,7.994594594594593,0.0,1.0,1.0,0.0
Los Angeles_USA_34.0522_-118.2437,37,13.13,13.402162162162162,0.0,47.8,46.64324324324325,0.0,52.9,61.05675675675677,0.0,7.6,8.051351351351352,0.0,2.0,2.0,0.0
London_UK_51.5074_-0.1278,37,-1.35,-1.2237837837837837,0.0,55.0,54.17027027027027,0.0,44.9,56.71621621621622,0.0,7.0,7.621621621621622,0.0,1.0,1.0,0.0
Lagos_Nigeria_6.5244_3.3792,37,35.34,35.08513513513515,0.0,63.5,63.254054054054045,0.0,76.7,78.23783783783784,0.0,8.6,8.002702702702702,0.0,1.0,1.0,0.0
Houston_USA_29.7604_-95.3698,37,16.27,16.521081081081082,0.0,47.7,48.002702702702706,0.0,69.2,75.20270270270271,0.0,8.1,7.910810810810812,0.0,1.0,1.0,0.0
Delhi_India_28.7041_77.1025,37,18.27,17.955405405405408,0.0,39.1,39.23783783783784,0.0,77.4,78.9297297297297,0.0,7.7,7.300000000000001,0.0,2.0,2.0,0.0
Dallas_USA_32.7767_-96.797,37,13.92,14.04108108108108,0.0,59.7,57.58648648648648,0.0,45.3,56.38648648648649,0.0,9.2,8.45945945945946,0.0,1.0,1.0,0.0
Chicago_USA_41.8781_-87.6298,37,7.21,6.571081081081082,0.0,38.1,38.28648648648649,0.0,61.1,62.19999999999999,0.0,7.6,7.559459459459459,0.0,1.0,1.0,0.0
Tokyo_Japan_35.6762_139.6503,37,13.71,12.52135135135135,0.0,44.3,44.21351351351351,0.0,51.7,61.78918918918919,0.0,7.8,8.159459459459459,0.0,2.0,2.0,0.0
