city_key,n_obs,median_temperature_celsius,mean_temperature_celsius,frac_nan_temperature_celsius,median_humidity_percent,mean_humidity_percent,frac_nan_humidity_percent,median_precipitation_mm,mean_precipitation_mm,frac_nan_precipitation_mm,median_wind_speed_ms,mean_wind_speed_ms,frac_nan_wind_speed_ms,median_urban_heat_island_intensity,mean_urban_heat_island_intensity,frac_nan_urban_heat_island_intensity
Beijing_China_39.9042_116.4074,37,10.37,9.635135135135133,0.0,54.4,54.945945945945944,0.0,58.8,56.05675675675677,0.0,7.6,7.929729729729731,0.0,2.0,2.0,0.0
Berlin_Germany_52.52_13.405,37,-0.45,-0.7737837837837838,0.0,57.9,60.49459459459459,0.0,45.6,56.183783783783774,0.0,8.0,7.805405405405404,0.0,1.0,1.0,0.0
São Paulo_Brazil_-23.5505_-46.6333,37,22.71,21.849729729729727,0.0,39.8,39.51351351351351,0.0,65.0,75.48648648648647,0.0,8.8,8.44864864864865,0.0,1.0,1.0,0.0
San Jose_USA_37.3382_-121.8863,37,11.8,10.365135135135137,0.0,36.1,35.402702702702705,0.0,48.4,62.71351351351352,0.0,7.5,8.062162162162164,0.0,1.0,1.0,0.0
San Diego_USA_32.7157_-117.1611,37,12.05,13.993243243243244,0.0,40.5,38.699999999999996,0.0,59.6,58.9972972972973,0.0,8.5,8.305405405405406,0.0,1.0,1.0,0.0
San Antonio_USA_29.4241_-98.4936,37,17.73,17.391351351351354,0.0,62.8,62.17567567567566,0.0,76.1,82.87837837837837,0.0,8.1,8.31891891891892,0.0,1.0,1.0,0.0
Phoenix_USA_33.4484_-112.074,37,14.45,13.492432432432432,0.0,51.9,50.435135135135134,0.0,56.1,59.73513513513513,0.0,7.0,7.421621621621621,0.0,1.0,1.0,0.0
Philadelphia_USA_39.9526_-75.1652,37,8.64,8.511891891891892,0.0,48.5,49.42162162162162,0.0,54.0,63.74324324324323,0.0,7.7,7.91081081081081,0.0,1.0,1.0,0.0
Paris_France_48.8566_2.3522,37,1.24,1.3670270270270273,0.0,51.4,52.6918918918919,0.0,55.2,63.432432432432435,0.0,7.7,8.027027027027028,0.0,1.0,1.0,0.0
New York_USA_40.7128_-74.006,37,8.86,9.030810810810811,0.0,47.5,47.54864864864865,0.0,57.2,64.3162162162162,0.0,8.5,8.264864864864865,0.0,2.0,2.0,0.0
Mumbai_India_19.076_72.8777,37,25.97,25.933243243243243,0.0,38.0,36.28648648648649,0.0,78.9,83.7054054054054,0.0,7.9,7.845945945945946,0.0,1.0,1.0,0.0
Mexico City_Mexico_19.4326_-99.1332,37,24.28,24.398108108108108,0.0,54.4,53.48378378378379,0.0,79.4,84.32162162162163,0.0,8.1,8.156756756756758,0.0,1.0,1.0,0.0
Los Angeles_USA_34.0522_-118.2437,37,14.09,14.51918918918919,0.0,46.5,46.845945945945935,0.0,50.6,58.66756756756756,0.0,8.1,7.800000000000001,0.0,2.0,2.0,0.0
London_UK_51.5074_-0.1278,37,-0.1,-0.41270270270270254,0.0,49.4,52.370270270270275,0.0,53.0,59.84054054054052,0.0,8.6,8.045945945945947,0.0,1.0,1.0,0.0
Lagos_Nigeria_6.5244_3.3792,37,34.8,35.565945945945955,0.0,63.7,64.62432432432432,0.0,73.4,76.61621621621622,0.0,7.5,7.548648648648648,0.0,1.0,1.0,0.0
Houston_USA_29.7604_-95.3698,37,16.16,16.78648648648649,0.0,45.1,45.762162162162156,0.0,63.7,75.4108108108108,0.0,8.4,8.321621621621624,0.0,1.0,1.0,0.0
Delhi_India_28.7041_77.1025,37,17.43,18.255675675675676,0.0,37.2,38.02972972972974,0.0,75.1,80.28648648648648,0.0,7.1,7.518918918918919,0.0,2.0,2.0,0.0
Dallas_USA_32.7767_-96.797,37,13.41,14.405945945945945,0.0,61.9,59.53783783783784,0.0,53.6,56.88108108108108,0.0,8.2,8.159459459459459,0.0,1.0,1.0,0.0
Chicago_USA_41.8781_-87.6298,37,7.13,6.928648648648649,0.0,38.2,38.26756756756757,0.0,50.6,54.05945945945946,0.0,7.9,7.7216216216216225,0.0,1.0,1.0,0.0
Tokyo_Japan_35.6762_139.6503,37,12.0,12.478918918918918,0.0,42.2,41.594594594594604,0.0,51.9,58.85945945945945,0.0,8.5,8.370270270270268,0.0,2.0,2.0,0.0
