city_key,n_obs,median_temperature_celsius,mean_temperature_celsius,frac_nan_temperature_celsius,median_humidity_percent,mean_humidity_percent,frac_nan_humidity_percent,median_precipitation_mm,mean_precipitation_mm,frac_nan_precipitation_mm,median_wind_speed_ms,mean_wind_speed_ms,frac_nan_wind_speed_ms,median_urban_heat_island_intensity,mean_urban_heat_island_intensity,frac_nan_urban_heat_island_intensity
Beijing_China_39.9042_116.4074,13,10.37,9.52846153846154,0.0,51.9,53.815384615384616,0.0,58.6,57.62307692307692,0.0,8.3,8.184615384615384,0.0,2.0,2.0,0.0
Berlin_Germany_52.52_13.405,13,-0.45,-1.0269230769230773,0.0,62.2,61.17692307692308,0.0,40.3,50.93846153846154,0.0,7.9,7.838461538461539,0.0,1.0,1.0,0.0
São Paulo_Brazil_-23.5505_-46.6333,13,22.71,22.286153846153844,0.0,42.8,40.06923076923077,0.0,58.1,68.52307692307691,0.0,8.5,8.13076923076923,0.0,1.0,1.0,0.0
San Jose_USA_37.3382_-121.8863,13,11.47,10.236923076923075,0.0,39.7,36.96153846153846,0.0,44.1,62.26153846153846,0.0,7.8,8.292307692307691,0.0,1.0,1.0,0.0
San Diego_USA_32.7157_-117.1611,13,11.95,13.896153846153844,0.0,41.9,38.823076923076925,0.0,64.4,63.42307692307692,0.0,8.3,7.546153846153847,0.0,1.0,1.0,0.0
San Antonio_USA_29.4241_-98.4936,13,18.9,18.037692307692307,0.0,65.2,62.66923076923077,0.0,75.9,83.35384615384616,0.0,7.6,8.453846153846154,0.0,1.0,1.0,0.0
Phoenix_USA_33.4484_-112.074,13,14.23,13.596923076923074,0.0,53.4,50.36923076923077,0.0,55.1,61.861538461538466,0.0,6.3,7.546153846153846,0.0,1.0,1.0,0.0
Philadelphia_USA_39.9526_-75.1652,13,9.25,7.976923076923076,0.0,47.0,48.28461538461538,0.0,59.3,64.67692307692309,0.0,6.8,7.4,0.0,1.0,1.0,0.0
Paris_France_48.8566_2.3522,13,1.57,2.007692307692308,0.0,57.7,52.57692307692309,0.0,54.8,64.46153846153847,0.0,8.4,8.238461538461538,0.0,1.0,1.0,0.0
New York_USA_40.7128_-74.006,13,8.86,9.025384615384613,0.0,51.0,47.06923076923077,0.0,51.1,65.6846153846154,0.0,8.8,9.276923076923076,0.0,2.0,2.0,0.0
Mumbai_India_19.076_72.8777,13,25.97,25.671538461538464,0.0,38.3,39.24615384615384,0.0,78.9,79.06153846153846,0.0,7.4,7.161538461538461,0.0,1.0,1.0,0.0
Mexico City_Mexico_19.4326_-99.1332,13,23.2,24.285384615384615,0.0,58.8,55.95384615384614,0.0,74.3,81.57692307692308,0.0,8.1,8.076923076923077,0.0,1.0,1.0,0.0
Los Angeles_USA_34.0522_-118.2437,13,14.09,14.265384615384619,0.0,46.5,47.353846153846156,0.0,50.6,63.099999999999994,0.0,7.1,7.123076923076923,0.0,2.0,2.0,0.0
London_UK_51.5074_-0.1278,13,-1.12,-1.6384615384615382,0.0,49.3,52.03076923076923,0.0,44.8,56.76153846153847,0.0,7.2,6.915384615384614,0.0,1.0,1.0,0.0
Lagos_Nigeria_6.5244_3.3792,13,35.45,36.567692307692305,0.0,66.4,65.12307692307692,0.0,73.4,76.78461538461538,0.0,8.1,7.56923076923077,0.0,1.0,1.0,0.0
Houston_USA_29.7604_-95.3698,13,16.5,16.604615384615386,0.0,47.3,49.315384615384616,0.0,66.6,77.39230769230768,0.0,8.0,7.892307692307692,0.0,1.0,1.0,0.0
Delhi_India_28.7041_77.1025,13,17.43,17.963846153846156,0.0,36.7,37.12307692307692,0.0,77.0,84.13076923076923,0.0,6.7,6.976923076923077,0.0,2.0,2.0,0.0
Dallas_USA_32.7767_-96.797,13,14.15,14.875384615384615,0.0,61.2,59.26923076923077,0.0,54.9,58.73846153846154,0.0,7.0,7.630769230769231,0.0,1.0,1.0,0.0
Chicago_USA_41.8781_-87.6298,13,7.13,7.792307692307692,0.0,34.5,35.61538461538461,0.0,51.0,49.86923076923077,0.0,7.9,8.092307692307692,0.0,1.0,1.0,0.0
Tokyo_Japan_35.6762_139.6503,13,12.14,13.064615384615385,0.0,40.4,38.93076923076923,0.0,43.8,56.0076923076923,0.0,7.2,7.984615384615386,0.0,2.0,2.0,0.0
