tag,window_type,window_center,pipeline,raw_csv,n_cities,feature_list,influencer_rank,city,delta_T_log,delta_abs,T_full,T_without_city,d_est_full,d_est_without_city
3yr_1984.0_A,3yr,1984.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,1,Delhi_India_28.7041_77.1025,-0.30356444300678254,0.30356444300678254,0.06898666695939584,-0.23457777604738667,4.023028315169684,3.9203319281849085
3yr_1984.0_A,3yr,1984.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,2,Chicago_USA_41.8781_-87.6298,-0.20514688086125718,0.20514688086125718,0.06898666695939584,-0.13616021390186134,4.023028315169684,3.953756822652712
3yr_1984.0_A,3yr,1984.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,3,San Jose_USA_37.3382_-121.8863,-0.18851361899591995,0.18851361899591995,0.06898666695939584,-0.11952695203652411,4.023028315169684,3.959405865469706
3yr_1984.0_A,3yr,1984.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,4,Mumbai_India_19.076_72.8777,-0.1583746418346289,0.1583746418346289,0.06898666695939584,-0.08938797487523306,4.023028315169684,3.9696417635047956
3yr_1984.0_A,3yr,1984.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,5,Beijing_China_39.9042_116.4074,-0.1468323100711954,0.1468323100711954,0.06898666695939584,-0.07784564311179956,4.023028315169684,3.9735618079835917
3yr_1984.0_B,3yr,1984.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,1,Delhi_India_28.7041_77.1025,-0.30356444300678254,0.30356444300678254,0.06898666695939584,-0.23457777604738667,4.023028315169684,3.9203319281849085
3yr_1984.0_B,3yr,1984.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,2,Chicago_USA_41.8781_-87.6298,-0.20514688086125718,0.20514688086125718,0.06898666695939584,-0.13616021390186134,4.023028315169684,3.953756822652712
3yr_1984.0_B,3yr,1984.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,3,San Jose_USA_37.3382_-121.8863,-0.18851361899591995,0.18851361899591995,0.06898666695939584,-0.11952695203652411,4.023028315169684,3.959405865469706
3yr_1984.0_B,3yr,1984.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,4,Mumbai_India_19.076_72.8777,-0.1583746418346289,0.1583746418346289,0.06898666695939584,-0.08938797487523306,4.023028315169684,3.9696417635047956
3yr_1984.0_B,3yr,1984.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,5,Beijing_China_39.9042_116.4074,-0.1468323100711954,0.1468323100711954,0.06898666695939584,-0.07784564311179956,4.023028315169684,3.9735618079835917
