tag,window_type,window_center,pipeline,raw_csv,n_cities,features,top_city,T_log_orig,T_log_exclude_topcity,delta_T_log_exclude_topcity,d_part,d_pca90,d_est,d_part_ex,d_pca90_ex,d_est_ex,status
annual_2012.0_C,annual,2012.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,Beijing_China_39.9042_116.4074,0.05257556967726757,-0.1477000548536934,-0.20027562453096096,4.035100312629002,4,4.017550156314501,3.8996752482230033,4,3.9498376241115016,ok
annual_2012.0_B,annual,2012.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,Beijing_China_39.9042_116.4074,0.05257556967726757,-0.1477000548536934,-0.20027562453096096,4.035100312629002,4,4.017550156314501,3.8996752482230033,4,3.9498376241115016,ok
annual_2012.0_A,annual,2012.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,Beijing_China_39.9042_116.4074,0.05257556967726757,-0.1477000548536934,-0.20027562453096096,4.035100312629002,4,4.017550156314501,3.8996752482230033,4,3.9498376241115016,ok
annual_2008.0_B,annual,2008.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,Beijing_China_39.9042_116.4074,0.14551205752927662,0.052835235239371496,-0.09267682228990512,4.097146236206648,4,4.048573118103324,4.035888150926686,4,4.017944075463343,ok
annual_2008.0_A,annual,2008.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,Beijing_China_39.9042_116.4074,0.14551205752927662,0.052835235239371496,-0.09267682228990512,4.097146236206648,4,4.048573118103324,4.035888150926686,4,4.017944075463343,ok
annual_2008.0_C,annual,2008.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,Beijing_China_39.9042_116.4074,0.14551205752927662,0.052835235239371496,-0.09267682228990512,4.097146236206648,4,4.048573118103324,4.035888150926686,4,4.017944075463343,ok
3yr_1984.0_B,3yr,1984.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,Beijing_China_39.9042_116.4074,0.06898666695939584,-0.00965641585377399,-0.07864308281316984,4.046056630339369,4,4.023028315169684,3.9934409129059225,4,3.9967204564529615,ok
3yr_1984.0_A,3yr,1984.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,Beijing_China_39.9042_116.4074,0.06898666695939584,-0.00965641585377399,-0.07864308281316984,4.046056630339369,4,4.023028315169684,3.9934409129059225,4,3.9967204564529615,ok
3yr_1984.0_C,3yr,1984.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,Beijing_China_39.9042_116.4074,0.06898666695939584,-0.00965641585377399,-0.07864308281316984,4.046056630339369,4,4.023028315169684,3.9934409129059225,4,3.9967204564529615,ok
annual_2016.0_A,annual,2016.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2016.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,Beijing_China_39.9042_116.4074,0.029689956256284185,-0.023059047877803635,-0.05274900413408782,4.019821501753267,4,4.009910750876633,3.9843372214259087,4,3.9921686107129544,ok
