city,country,latitude,longitude,year,month,temperature_celsius,humidity_percent,precipitation_mm,wind_speed_ms,urban_heat_island_intensity,data_source,ym,city_key
New York,USA,40.7128,-74.006,1984,1,8.58,45.1,30.5,5.0,2.0,NOAA_Weather_Stations,1984.0,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1984,2,17.43,46.3,49.8,6.4,2.0,NOAA_Weather_Stations,1984.0833333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1984,3,20.59,46.0,26.6,7.1,2.0,NOAA_Weather_Stations,1984.1666666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1984,4,25.21,40.4,48.9,7.0,2.0,NOAA_Weather_Stations,1984.25,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1984,5,22.75,53.8,26.9,10.7,2.0,NOAA_Weather_Stations,1984.3333333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1984,6,13.71,45.3,71.8,12.1,2.0,NOAA_Weather_Stations,1984.4166666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1984,7,6.58,57.3,59.5,11.6,2.0,NOAA_Weather_Stations,1984.5,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1984,8,2.03,54.1,111.6,17.2,2.0,NOAA_Weather_Stations,1984.5833333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1984,9,-1.83,60.6,116.6,7.4,2.0,NOAA_Weather_Stations,1984.6666666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1984,10,-4.98,47.6,92.7,6.0,2.0,NOAA_Weather_Stations,1984.75,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1984,11,-4.57,48.5,78.2,6.8,2.0,NOAA_Weather_Stations,1984.8333333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1984,12,-2.22,46.2,37.6,7.2,2.0,NOAA_Weather_Stations,1984.9166666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1985,1,11.64,47.3,32.2,3.9,2.0,NOAA_Weather_Stations,1985.0,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1985,2,16.45,42.9,35.4,5.2,2.0,NOAA_Weather_Stations,1985.0833333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1985,3,24.24,46.4,44.3,3.9,2.0,NOAA_Weather_Stations,1985.1666666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1985,4,23.89,33.4,31.9,11.2,2.0,NOAA_Weather_Stations,1985.25,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1985,5,19.97,53.0,30.3,9.6,2.0,NOAA_Weather_Stations,1985.3333333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1985,6,14.71,56.6,69.6,11.8,2.0,NOAA_Weather_Stations,1985.4166666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1985,7,9.27,59.4,83.4,7.6,2.0,NOAA_Weather_Stations,1985.5,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1985,8,0.05,60.1,44.2,8.1,2.0,NOAA_Weather_Stations,1985.5833333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1985,9,-4.95,67.7,53.8,1.5,2.0,NOAA_Weather_Stations,1985.6666666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1985,10,-8.53,51.7,77.3,4.0,2.0,NOAA_Weather_Stations,1985.75,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1985,11,-1.39,63.3,40.9,8.3,2.0,NOAA_Weather_Stations,1985.8333333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1985,12,-1.85,59.3,69.5,5.0,2.0,NOAA_Weather_Stations,1985.9166666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1986,1,8.13,46.7,48.9,5.6,2.0,NOAA_Weather_Stations,1986.0,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1986,2,17.36,55.2,32.6,4.0,2.0,NOAA_Weather_Stations,1986.0833333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1986,3,22.9,40.3,26.6,8.6,2.0,NOAA_Weather_Stations,1986.1666666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1986,4,22.29,37.1,45.8,8.5,2.0,NOAA_Weather_Stations,1986.25,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1986,5,20.28,36.9,53.9,12.4,2.0,NOAA_Weather_Stations,1986.3333333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1986,6,16.65,49.0,46.9,12.3,2.0,NOAA_Weather_Stations,1986.4166666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1986,7,9.64,40.6,98.0,10.6,2.0,NOAA_Weather_Stations,1986.5,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1986,8,1.27,60.2,72.3,8.3,2.0,NOAA_Weather_Stations,1986.5833333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1986,9,-1.35,49.2,112.9,10.6,2.0,NOAA_Weather_Stations,1986.6666666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1986,10,-6.42,59.2,76.5,5.9,2.0,NOAA_Weather_Stations,1986.75,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1986,11,-5.0,47.8,108.8,5.6,2.0,NOAA_Weather_Stations,1986.8333333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,1986,12,2.23,43.4,47.6,9.2,2.0,NOAA_Weather_Stations,1986.9166666666667,New York_USA_40.7128_-74.006
