city,country,latitude,longitude,year,month,temperature_celsius,humidity_percent,precipitation_mm,wind_speed_ms,urban_heat_island_intensity,data_source,ym,city_key
New York,USA,40.7128,-74.006,2012,1,10.44,57.8,31.0,7.8,2.0,NOAA_Weather_Stations,2012.0,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2012,2,15.28,41.4,42.9,6.5,2.0,NOAA_Weather_Stations,2012.0833333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2012,3,19.09,30.9,19.5,9.4,2.0,NOAA_Weather_Stations,2012.1666666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2012,4,23.25,52.6,47.2,8.7,2.0,NOAA_Weather_Stations,2012.25,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2012,5,18.59,51.4,41.1,7.5,2.0,NOAA_Weather_Stations,2012.3333333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2012,6,19.02,38.1,68.5,16.1,2.0,NOAA_Weather_Stations,2012.4166666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2012,7,9.25,40.7,79.6,14.7,2.0,NOAA_Weather_Stations,2012.5,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2012,8,3.92,58.2,66.2,10.7,2.0,NOAA_Weather_Stations,2012.5833333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2012,9,-4.01,63.2,51.9,7.7,2.0,NOAA_Weather_Stations,2012.6666666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2012,10,-6.91,59.3,110.8,8.4,2.0,NOAA_Weather_Stations,2012.75,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2012,11,-9.54,59.1,48.6,4.0,2.0,NOAA_Weather_Stations,2012.8333333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2012,12,-2.23,49.3,65.9,4.8,2.0,NOAA_Weather_Stations,2012.9166666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2013,1,9.4,50.9,41.5,7.8,2.0,NOAA_Weather_Stations,2013.0,New York_USA_40.7128_-74.006
Los Angeles,USA,34.0522,-118.2437,2012,1,14.97,47.9,48.2,4.3,2.0,NOAA_Weather_Stations,2012.0,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2012,2,20.25,37.6,27.4,5.0,2.0,NOAA_Weather_Stations,2012.0833333333333,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2012,3,31.57,50.5,27.8,6.5,2.0,NOAA_Weather_Stations,2012.1666666666667,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2012,4,29.73,27.0,26.6,9.7,2.0,NOAA_Weather_Stations,2012.25,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2012,5,29.8,36.7,23.1,13.3,2.0,NOAA_Weather_Stations,2012.3333333333333,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2012,6,24.19,41.8,63.9,13.0,2.0,NOAA_Weather_Stations,2012.4166666666667,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2012,7,16.85,55.5,107.4,11.9,2.0,NOAA_Weather_Stations,2012.5,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2012,8,6.1,47.9,62.0,10.4,2.0,NOAA_Weather_Stations,2012.5833333333333,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2012,9,5.44,52.9,66.5,9.6,2.0,NOAA_Weather_Stations,2012.6666666666667,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2012,10,0.9,47.4,61.0,3.1,2.0,NOAA_Weather_Stations,2012.75,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2012,11,1.4,53.8,107.6,7.4,2.0,NOAA_Weather_Stations,2012.8333333333333,Los Angeles_USA_34.0522_-118.2437
