city,country,latitude,longitude,year,month,temperature_celsius,humidity_percent,precipitation_mm,wind_speed_ms,urban_heat_island_intensity,data_source,ym,city_key
New York,USA,40.7128,-74.006,2016,1,7.46,51.0,61.1,5.7,2.0,NOAA_Weather_Stations,2016.0,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2016,2,19.2,34.4,33.0,8.8,2.0,NOAA_Weather_Stations,2016.0833333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2016,3,21.73,50.2,25.7,10.6,2.0,NOAA_Weather_Stations,2016.1666666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2016,4,24.02,30.7,41.2,8.5,2.0,NOAA_Weather_Stations,2016.25,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2016,5,20.93,36.5,38.2,13.8,2.0,NOAA_Weather_Stations,2016.3333333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2016,6,15.93,52.2,51.1,14.0,2.0,NOAA_Weather_Stations,2016.4166666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2016,7,8.86,56.0,110.9,8.8,2.0,NOAA_Weather_Stations,2016.5,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2016,8,2.22,40.6,102.0,11.9,2.0,NOAA_Weather_Stations,2016.5833333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2016,9,-4.72,56.9,120.3,9.7,2.0,NOAA_Weather_Stations,2016.6666666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2016,10,-8.62,54.7,69.2,10.4,2.0,NOAA_Weather_Stations,2016.75,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2016,11,-1.86,42.2,107.9,6.1,2.0,NOAA_Weather_Stations,2016.8333333333333,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2016,12,2.55,55.1,45.6,7.2,2.0,NOAA_Weather_Stations,2016.9166666666667,New York_USA_40.7128_-74.006
New York,USA,40.7128,-74.006,2017,1,9.63,51.4,47.7,5.1,2.0,NOAA_Weather_Stations,2017.0,New York_USA_40.7128_-74.006
Los Angeles,USA,34.0522,-118.2437,2016,1,14.61,62.7,61.3,5.0,2.0,NOAA_Weather_Stations,2016.0,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2016,2,24.91,42.5,50.6,7.1,2.0,NOAA_Weather_Stations,2016.0833333333333,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2016,3,25.76,46.5,31.2,8.6,2.0,NOAA_Weather_Stations,2016.1666666666667,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2016,4,28.27,27.5,44.9,8.5,2.0,NOAA_Weather_Stations,2016.25,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2016,5,29.39,35.9,22.5,8.5,2.0,NOAA_Weather_Stations,2016.3333333333333,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2016,6,20.32,44.5,47.5,8.3,2.0,NOAA_Weather_Stations,2016.4166666666667,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2016,7,10.74,36.5,103.2,10.6,2.0,NOAA_Weather_Stations,2016.5,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2016,8,8.73,44.3,125.0,8.9,2.0,NOAA_Weather_Stations,2016.5833333333333,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2016,9,1.11,50.3,71.8,6.2,2.0,NOAA_Weather_Stations,2016.6666666666667,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2016,10,-1.59,50.8,97.6,7.1,2.0,NOAA_Weather_Stations,2016.75,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2016,11,1.77,63.3,43.3,5.0,2.0,NOAA_Weather_Stations,2016.8333333333333,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2016,12,7.34,62.7,86.1,5.1,2.0,NOAA_Weather_Stations,2016.9166666666667,Los Angeles_USA_34.0522_-118.2437
Los Angeles,USA,34.0522,-118.2437,2017,1,14.09,48.1,35.3,3.7,2.0,NOAA_Weather_Stations,2017.0,Los Angeles_USA_34.0522_-118.2437
Chicago,USA,41.8781,-87.6298,2016,1,7.13,34.5,47.0,6.4,1.0,NOAA_Weather_Stations,2016.0,Chicago_USA_41.8781_-87.6298
Chicago,USA,41.8781,-87.6298,2016,2,13.34,37.9,41.0,6.0,1.0,NOAA_Weather_Stations,2016.0833333333333,Chicago_USA_41.8781_-87.6298
Chicago,USA,41.8781,-87.6298,2016,3,23.95,20.0,40.5,3.4,1.0,NOAA_Weather_Stations,2016.1666666666667,Chicago_USA_41.8781_-87.6298
Chicago,USA,41.8781,-87.6298,2016,4,21.42,53.4,23.4,9.0,1.0,NOAA_Weather_Stations,2016.25,Chicago_USA_41.8781_-87.6298
Chicago,USA,41.8781,-87.6298,2016,5,20.71,38.2,51.0,11.0,1.0,NOAA_Weather_Stations,2016.3333333333333,Chicago_USA_41.8781_-87.6298
Chicago,USA,41.8781,-87.6298,2016,6,12.95,20.0,65.3,12.4,1.0,NOAA_Weather_Stations,2016.4166666666667,Chicago_USA_41.8781_-87.6298
Chicago,USA,41.8781,-87.6298,2016,7,6.85,32.5,50.6,10.7,1.0,NOAA_Weather_Stations,2016.5,Chicago_USA_41.8781_-87.6298
Chicago,USA,41.8781,-87.6298,2016,8,0.17,34.1,51.1,11.9,1.0,NOAA_Weather_Stations,2016.5833333333333,Chicago_USA_41.8781_-87.6298
Chicago,USA,41.8781,-87.6298,2016,9,-2.13,38.2,47.2,8.3,1.0,NOAA_Weather_Stations,2016.6666666666667,Chicago_USA_41.8781_-87.6298
Chicago,USA,41.8781,-87.6298,2016,10,-5.14,44.9,57.0,6.3,1.0,NOAA_Weather_Stations,2016.75,Chicago_USA_41.8781_-87.6298
Chicago,USA,41.8781,-87.6298,2016,11,-5.23,51.1,56.2,5.8,1.0,NOAA_Weather_Stations,2016.8333333333333,Chicago_USA_41.8781_-87.6298
Chicago,USA,41.8781,-87.6298,2016,12,-1.2,27.8,51.8,7.9,1.0,NOAA_Weather_Stations,2016.9166666666667,Chicago_USA_41.8781_-87.6298
