window_type,window_center,pipeline,n_rows,prop_obs_outlier,median_md,prop_cities_with_gt10pct_outliers,max_city_outlier_frac,flag_for_review,top3_cities_by_outlier_or_nobs,features_used,path_summary_md,path_heatmap_png,path_by_city_csv
3yr,1984.0,A,740,0.0256756756756756,3.047570995355966,0.05,0.4864864864864865,True,,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,results/temporal_cv_atypical_windows/diagnostics\3yr_1984.0_A\summary_3yr_1984.0_A.md,results/temporal_cv_atypical_windows/diagnostics\3yr_1984.0_A\heatmap_cities_features_3yr_1984.0_A.png,
3yr,1984.0,B,740,0.0256756756756756,2.9587559082015766,0.05,0.5135135135135135,True,,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,results/temporal_cv_atypical_windows/diagnostics\3yr_1984.0_B\summary_3yr_1984.0_B.md,results/temporal_cv_atypical_windows/diagnostics\3yr_1984.0_B\heatmap_cities_features_3yr_1984.0_B.png,
3yr,1984.0,C,740,0.0256756756756756,3.047570995355966,0.05,0.4864864864864865,True,,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,results/temporal_cv_atypical_windows/diagnostics\3yr_1984.0_C\summary_3yr_1984.0_C.md,results/temporal_cv_atypical_windows/diagnostics\3yr_1984.0_C\heatmap_cities_features_3yr_1984.0_C.png,
3yr,2014.0,A,740,0.0256756756756756,2.9414490888701934,0.05,0.5135135135135135,True,,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,results/temporal_cv_atypical_windows/diagnostics\3yr_2014.0_A\summary_3yr_2014.0_A.md,results/temporal_cv_atypical_windows/diagnostics\3yr_2014.0_A\heatmap_cities_features_3yr_2014.0_A.png,
3yr,2014.0,B,740,0.0256756756756756,3.045142794547782,0.05,0.5135135135135135,True,,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,results/temporal_cv_atypical_windows/diagnostics\3yr_2014.0_B\summary_3yr_2014.0_B.md,results/temporal_cv_atypical_windows/diagnostics\3yr_2014.0_B\heatmap_cities_features_3yr_2014.0_B.png,
3yr,2014.0,C,740,0.0256756756756756,2.9566320556019656,0.05,0.5135135135135135,True,,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,results/temporal_cv_atypical_windows/diagnostics\3yr_2014.0_C\summary_3yr_2014.0_C.md,results/temporal_cv_atypical_windows/diagnostics\3yr_2014.0_C\heatmap_cities_features_3yr_2014.0_C.png,
annual,2003.0,A,260,0.0269230769230769,2.959953107288335,0.05,0.5384615384615384,True,,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,results/temporal_cv_atypical_windows/diagnostics\annual_2003.0_A\summary_annual_2003.0_A.md,results/temporal_cv_atypical_windows/diagnostics\annual_2003.0_A\heatmap_cities_features_annual_2003.0_A.png,
annual,2003.0,C,260,0.0269230769230769,2.959953107288335,0.05,0.5384615384615384,True,,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,results/temporal_cv_atypical_windows/diagnostics\annual_2003.0_C\summary_annual_2003.0_C.md,results/temporal_cv_atypical_windows/diagnostics\annual_2003.0_C\heatmap_cities_features_annual_2003.0_C.png,
annual,2008.0,A,260,0.0269230769230769,2.982908019789716,0.05,0.4615384615384615,True,,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,results/temporal_cv_atypical_windows/diagnostics\annual_2008.0_A\summary_annual_2008.0_A.md,results/temporal_cv_atypical_windows/diagnostics\annual_2008.0_A\heatmap_cities_features_annual_2008.0_A.png,
annual,2008.0,B,260,0.0269230769230769,3.043825552541133,0.05,0.5384615384615384,True,,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,results/temporal_cv_atypical_windows/diagnostics\annual_2008.0_B\summary_annual_2008.0_B.md,results/temporal_cv_atypical_windows/diagnostics\annual_2008.0_B\heatmap_cities_features_annual_2008.0_B.png,
