window_type,window_center,pipeline,raw_csv,city_summary_csv,n_rows
3yr,1984.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_A_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_A_by_city.csv,740
3yr,1984.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_B_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_B_by_city.csv,740
3yr,1984.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_C_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_C_by_city.csv,740
3yr,2014.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_A_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_A_by_city.csv,740
3yr,2014.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_B_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_B_by_city.csv,740
3yr,2014.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_C_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_C_by_city.csv,740
annual,2003.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2003.00_A_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2003.00_A_by_city.csv,260
annual,2003.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2003.00_C_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2003.00_C_by_city.csv,260
annual,2008.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_A_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_A_by_city.csv,260
annual,2008.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_B_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_B_by_city.csv,260
annual,2008.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_C_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_C_by_city.csv,260
annual,2012.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_A_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_A_by_city.csv,260
annual,2012.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_B_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_B_by_city.csv,260
annual,2012.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_C_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_C_by_city.csv,260
annual,2014.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2014.00_A_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2014.00_A_by_city.csv,260
annual,2014.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2014.00_C_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2014.00_C_by_city.csv,260
annual,2016.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2016.00_A_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2016.00_A_by_city.csv,260
annual,2016.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2016.00_B_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2016.00_B_by_city.csv,260
annual,2016.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2016.00_C_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2016.00_C_by_city.csv,260
