window_type,window_center,pipeline,raw_csv,city_summary_csv,n_rows,prop_obs_outlier,median_md,prop_cities_with_gt10pct_outliers,max_city_outlier_frac,flag_for_review
3yr,1984.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_A_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_A_by_city.csv,740,0.025675675675675677,3.047570995355966,0.05,0.4864864864864865,True
3yr,1984.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_B_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_B_by_city.csv,740,0.025675675675675677,2.9587559082015766,0.05,0.5135135135135135,True
3yr,1984.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_C_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_1984.00_C_by_city.csv,740,0.025675675675675677,3.047570995355966,0.05,0.4864864864864865,True
3yr,2014.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_A_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_A_by_city.csv,740,0.025675675675675677,2.9414490888701934,0.05,0.5135135135135135,True
3yr,2014.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_B_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_B_by_city.csv,740,0.025675675675675677,3.045142794547782,0.05,0.5135135135135135,True
3yr,2014.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_C_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_C_by_city.csv,740,0.025675675675675677,2.9566320556019656,0.05,0.5135135135135135,True
annual,2003.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2003.00_A_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2003.00_A_by_city.csv,260,0.026923076923076925,2.959953107288335,0.05,0.5384615384615384,True
annual,2003.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2003.00_C_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2003.00_C_by_city.csv,260,0.026923076923076925,2.959953107288335,0.05,0.5384615384615384,True
annual,2008.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_A_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_A_by_city.csv,260,0.026923076923076925,2.982908019789716,0.05,0.46153846153846156,True
annual,2008.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_B_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_B_by_city.csv,260,0.026923076923076925,3.043825552541133,0.05,0.5384615384615384,True
annual,2008.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_C_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_C_by_city.csv,260,0.026923076923076925,2.992476784411439,0.05,0.5384615384615384,True
annual,2012.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_A_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_A_by_city.csv,260,0.026923076923076925,3.0506361237405697,0.05,0.5384615384615384,True
annual,2012.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_B_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_B_by_city.csv,260,0.026923076923076925,3.0506361237405697,0.05,0.5384615384615384,True
annual,2012.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_C_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2012.00_C_by_city.csv,260,0.026923076923076925,3.0506361237405697,0.05,0.5384615384615384,True
annual,2014.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2014.00_A_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2014.00_A_by_city.csv,260,0.026923076923076925,2.997713187713024,0.05,0.5384615384615384,True
annual,2014.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2014.00_C_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2014.00_C_by_city.csv,260,0.026923076923076925,2.997713187713024,0.05,0.5384615384615384,True
annual,2016.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2016.00_A_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2016.00_A_by_city.csv,260,0.026923076923076925,3.168519639115207,0.05,0.5384615384615384,True
annual,2016.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2016.00_B_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2016.00_B_by_city.csv,260,0.026923076923076925,3.08847012124568,0.05,0.5384615384615384,True
annual,2016.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2016.00_C_raw.csv,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2016.00_C_by_city.csv,260,0.026923076923076925,3.08847012124568,0.05,0.5384615384615384,True
