series,window_size_months,stride_months,k,d_hat_k,n_windows
S0,60,1,5,25.208994499282444,3206
S0,60,1,6,22.196648446876512,3206
S0,60,1,7,20.473031589096372,3206
S0,60,1,8,19.212719305737565,3206
S0,60,1,9,18.41237784093629,3206
S0,60,1,10,17.935438558962186,3206
S0,60,1,11,17.428452251072805,3206
S0,60,1,12,17.04272818369492,3206
S0,60,1,13,16.695786913220886,3206
S0,60,1,14,16.451766691051418,3206
S0,60,1,15,16.20627850266698,3206
S0,60,1,16,16.023147516998907,3206
S0,60,1,17,15.80962994308317,3206
S0,60,1,18,15.580763957133705,3206
S0,60,1,19,15.37075079131791,3206
S0,60,1,20,15.180954575090778,3206
S0,60,6,5,18.74910182203012,535
S0,60,6,6,16.987308478555416,535
S0,60,6,7,15.018763515383558,535
S0,60,6,8,14.370763697476606,535
S0,60,6,9,13.671385533745305,535
S0,60,6,10,12.963493672220206,535
S0,60,6,11,12.221863507821208,535
S0,60,6,12,11.81903466315855,535
S0,60,6,13,11.3683940387121,535
S0,60,6,14,11.104173879009188,535
S0,60,6,15,10.705656881593136,535
S0,60,6,16,10.391721951376343,535
S0,60,6,17,10.111192359212318,535
S0,60,6,18,9.843058190742447,535
S0,60,6,19,9.661482246399794,535
S0,60,6,20,9.435199240878028,535
S0,60,12,5,14.821646324401005,268
S0,60,12,6,12.678107446728543,268
S0,60,12,7,11.575423212941732,268
S0,60,12,8,10.723577270464924,268
S0,60,12,9,10.211451950002045,268
S0,60,12,10,9.59093106984587,268
S0,60,12,11,9.267216658592366,268
S0,60,12,12,8.966064661886389,268
S0,60,12,13,8.601746871087403,268
S0,60,12,14,8.330080902939478,268
S0,60,12,15,8.135016497542845,268
S0,60,12,16,7.805196473738768,268
S0,60,12,17,7.6416866641885575,268
S0,60,12,18,7.421633093842626,268
S0,60,12,19,7.217596279040916,268
S0,60,12,20,7.075172398377744,268
S0,132,1,5,15.787667974645592,3134
S0,132,1,6,15.748460880041053,3134
S0,132,1,7,15.071025303862122,3134
S0,132,1,8,14.888080152790957,3134
S0,132,1,9,14.484414492491434,3134
S0,132,1,10,14.42175081022543,3134
S0,132,1,11,13.96797852199699,3134
S0,132,1,12,13.793143195923664,3134
S0,132,1,13,13.646241511515727,3134
S0,132,1,14,13.648896827157307,3134
S0,132,1,15,13.655292110562113,3134
S0,132,1,16,13.599499267719404,3134
S0,132,1,17,13.536433740239405,3134
S0,132,1,18,13.511195583320445,3134
S0,132,1,19,13.35128381107837,3134
S0,132,1,20,13.256782623097685,3134
S0,132,6,5,18.79850490880888,523
S0,132,6,6,17.03034394935796,523
S0,132,6,7,15.120050773380283,523
S0,132,6,8,14.193661048202655,523
S0,132,6,9,12.994683578958425,523
S0,132,6,10,12.354230566192278,523
S0,132,6,11,11.724676345517144,523
S0,132,6,12,11.28074891211578,523
S0,132,6,13,10.90574811596423,523
S0,132,6,14,10.560613096663493,523
S0,132,6,15,10.247606429307327,523
S0,132,6,16,9.994493963123084,523
S0,132,6,17,9.733978069158427,523
S0,132,6,18,9.500173526882437,523
S0,132,6,19,9.283319145586301,523
S0,132,6,20,9.0621284830912,523
S0,132,12,5,14.270286607353365,262
S0,132,12,6,11.816720330344284,262
S0,132,12,7,11.017797523770795,262
S0,132,12,8,10.14850810792459,262
S0,132,12,9,9.831259103088035,262
S0,132,12,10,9.29129498284463,262
S0,132,12,11,9.046830861930667,262
S0,132,12,12,8.664856839475355,262
S0,132,12,13,8.457842873758285,262
S0,132,12,14,8.309454571339625,262
S0,132,12,15,8.191099632599999,262
S0,132,12,16,7.967169634081421,262
S0,132,12,17,7.769937655841556,262
S0,132,12,18,7.4782322338905365,262
S0,132,12,19,7.234435899084621,262
S0,132,12,20,7.03537423093812,262
S0,264,1,5,9.163669942539059,3002
S0,264,1,6,10.449043266202311,3002
S0,264,1,7,9.411020966045472,3002
S0,264,1,8,10.086287424759961,3002
S0,264,1,9,9.318089309908475,3002
S0,264,1,10,9.669331044476037,3002
S0,264,1,11,9.209480443021082,3002
S0,264,1,12,9.267569962803837,3002
S0,264,1,13,8.662486096921876,3002
