W,G,cycle_phase,n_windows_phase,series,k,d_hat_k,n_windows,n_windows_total_from_M1,frac_windows_in_phase
60,1,declining,1542,S0,5,25.208994499282444,3206,3206,0.4809731752963194
60,1,declining,1542,S0,6,22.196648446876512,3206,3206,0.4809731752963194
60,1,declining,1542,S0,7,20.47303158909637,3206,3206,0.4809731752963194
60,1,declining,1542,S0,8,19.212719305737565,3206,3206,0.4809731752963194
60,1,declining,1542,S0,9,18.41237784093629,3206,3206,0.4809731752963194
60,1,declining,1542,S0,10,17.935438558962186,3206,3206,0.4809731752963194
60,1,declining,1542,S0,11,17.428452251072805,3206,3206,0.4809731752963194
60,1,declining,1542,S0,12,17.04272818369492,3206,3206,0.4809731752963194
60,1,declining,1542,S0,13,16.695786913220886,3206,3206,0.4809731752963194
60,1,declining,1542,S0,14,16.451766691051418,3206,3206,0.4809731752963194
60,1,declining,1542,S0,15,16.20627850266698,3206,3206,0.4809731752963194
60,1,declining,1542,S0,16,16.023147516998907,3206,3206,0.4809731752963194
60,1,declining,1542,S0,17,15.80962994308317,3206,3206,0.4809731752963194
60,1,declining,1542,S0,18,15.580763957133705,3206,3206,0.4809731752963194
60,1,declining,1542,S0,19,15.37075079131791,3206,3206,0.4809731752963194
60,1,declining,1542,S0,20,15.180954575090778,3206,3206,0.4809731752963194
60,1,max,300,S0,5,25.208994499282444,3206,3206,0.09357454772301933
60,1,max,300,S0,6,22.196648446876512,3206,3206,0.09357454772301933
60,1,max,300,S0,7,20.47303158909637,3206,3206,0.09357454772301933
60,1,max,300,S0,8,19.212719305737565,3206,3206,0.09357454772301933
60,1,max,300,S0,9,18.41237784093629,3206,3206,0.09357454772301933
60,1,max,300,S0,10,17.935438558962186,3206,3206,0.09357454772301933
60,1,max,300,S0,11,17.428452251072805,3206,3206,0.09357454772301933
60,1,max,300,S0,12,17.04272818369492,3206,3206,0.09357454772301933
60,1,max,300,S0,13,16.695786913220886,3206,3206,0.09357454772301933
