W,G,cycle_phase,k,d_mean,d_std,n_windows
60,1,declining,5,26.404782707311785,20.929352774822483,1542
60,1,declining,6,23.510060415264043,16.02848577787486,1542
60,1,declining,7,21.942042616424835,13.438563425484274,1542
60,1,declining,8,20.87884340084729,11.935333521091488,1542
60,1,declining,9,20.064124325210418,10.662643618955586,1542
60,1,declining,10,19.396500287824445,9.897698767315518,1542
60,1,declining,11,18.788643637653728,9.14775142350369,1542
60,1,declining,12,18.3552755575947,8.511852392955694,1542
60,1,declining,13,17.932091837063716,7.991814363159098,1542
60,1,declining,14,17.679886298241602,7.609452959546561,1542
60,1,declining,15,17.396221921782395,7.2900844421449245,1542
60,1,declining,16,17.258238648042685,7.135808337251272,1542
60,1,declining,17,17.084938873429692,6.9537771523796605,1542
60,1,declining,18,16.894168224438918,6.661952520559053,1542
60,1,declining,19,16.708453870758824,6.410907473355482,1542
60,1,declining,20,16.512741009845836,6.216260001479891,1542
60,1,max,5,27.545670385990466,48.04957527164124,300
60,1,max,6,22.364794645077097,17.73341577467914,300
60,1,max,7,19.655766692741675,15.977053424416606,300
60,1,max,8,18.278994160309523,15.331583820672531,300
60,1,max,9,17.52854075465209,11.243121986960437,300
60,1,max,10,17.337390704810865,8.936846303634889,300
60,1,max,11,17.189654496647023,8.52687037439335,300
60,1,max,12,16.867942975992687,8.143128076428093,300
60,1,max,13,16.505278972983817,7.781396468962377,300
60,1,max,14,16.298298504721533,7.60835027376163,300
60,1,max,15,16.053272049944436,7.348303045702742,300
60,1,max,16,16.13712717782192,7.455389615462146,300
60,1,max,17,15.981747007515951,7.072219649862585,300
60,1,max,18,15.620226202378193,6.5163368196607365,300
60,1,max,19,15.38414768820632,6.242975474325322,300
60,1,max,20,15.175774965285278,5.796555546041843,300
60,1,min,5,25.718202185797768,24.06308818177188,288
60,1,min,6,21.297433808437756,15.513423891242113,288
60,1,min,7,18.80556967077638,12.356558653344152,288
60,1,min,8,17.262123959907598,9.437757888359164,288
60,1,min,9,16.430605417855954,8.035520969498437,288
60,1,min,10,15.918629702829419,7.5131296542824835,288
60,1,min,11,15.229326844869323,6.1868271000221275,288
60,1,min,12,14.888517846517365,5.995254512867592,288
60,1,min,13,14.650490460119206,5.666366925478317,288
60,1,min,14,14.420958804221398,5.435422842836674,288
60,1,min,15,14.143702918190275,5.1598067067571245,288
60,1,min,16,13.71875343191844,4.9616045131674245,288
60,1,min,17,13.526618277211277,4.693667027684537,288
60,1,min,18,13.314248137851031,4.422126683715628,288
