W,G,phase,window_id,start_index,end_index,n_points,selected_order
60,1,min,38,38,97,60,0
60,1,min,173,173,232,60,1
60,1,min,282,282,341,60,2
60,1,min,392,392,451,60,3
60,1,min,556,556,615,60,4
60,1,min,700,700,759,60,5
60,1,min,857,857,916,60,6
60,1,min,982,982,1041,60,7
60,1,min,1099,1099,1158,60,8
60,1,min,1249,1249,1308,60,9
60,1,min,1383,1383,1442,60,10
60,1,min,1522,1522,1581,60,11
60,1,min,1644,1644,1703,60,12
60,1,min,1801,1801,1860,60,13
60,1,min,1939,1939,1998,60,14
60,1,min,2059,2059,2118,60,15
60,1,min,2181,2181,2240,60,16
60,1,min,2307,2307,2366,60,17
60,1,min,2428,2428,2487,60,18
60,1,min,2554,2554,2613,60,19
60,1,min,2694,2694,2753,60,20
60,1,min,2811,2811,2870,60,21
60,1,min,2936,2936,2995,60,22
60,1,min,3083,3083,3142,60,23
60,1,max,113,113,172,60,0
60,1,max,213,213,272,60,1
60,1,max,317,317,376,60,2
60,1,max,435,435,494,60,3
60,1,max,527,527,586,60,4
60,1,max,639,639,698,60,5
60,1,max,777,777,836,60,6
60,1,max,934,934,993,60,7
60,1,max,1024,1024,1083,60,8
60,1,max,1154,1154,1213,60,9
60,1,max,1298,1298,1357,60,10
60,1,max,1426,1426,1485,60,11
60,1,max,1584,1584,1643,60,12
60,1,max,1705,1705,1764,60,13
60,1,max,1849,1849,1908,60,14
60,1,max,1987,1987,2046,60,15
60,1,max,2115,2115,2174,60,16
60,1,max,2224,2224,2283,60,17
60,1,max,2345,2345,2404,60,18
60,1,max,2475,2475,2534,60,19
60,1,max,2603,2603,2662,60,20
60,1,max,2736,2736,2795,60,21
60,1,max,2850,2850,2909,60,22
60,1,max,3003,3003,3062,60,23
60,1,max,3148,3148,3207,60,24
60,6,min,3213,42,101,60,0
60,6,min,3235,174,233,60,1
60,6,min,3253,282,341,60,2
60,6,min,3272,396,455,60,3
60,6,min,3299,558,617,60,4
60,6,min,3323,702,761,60,5
60,6,min,3349,858,917,60,6
60,6,min,3370,984,1043,60,7
60,6,min,3390,1104,1163,60,8
60,6,min,3415,1254,1313,60,9
60,6,min,3437,1386,1445,60,10
60,6,min,3460,1524,1583,60,11
60,6,min,3480,1644,1703,60,12
60,6,min,3507,1806,1865,60,13
60,6,min,3530,1944,2003,60,14
60,6,min,3550,2064,2123,60,15
60,6,min,3570,2184,2243,60,16
60,6,min,3591,2310,2369,60,17
60,6,min,3611,2430,2489,60,18
60,6,min,3632,2556,2615,60,19
60,6,min,3655,2694,2753,60,20
60,6,min,3675,2814,2873,60,21
60,6,min,3696,2940,2999,60,22
60,6,min,3720,3084,3143,60,23
60,6,max,3225,114,173,60,0
60,6,max,3242,216,275,60,1
60,6,max,3259,318,377,60,2
60,6,max,3279,438,497,60,3
60,6,max,3294,528,587,60,4
60,6,max,3313,642,701,60,5
60,6,max,3336,780,839,60,6
60,6,max,3362,936,995,60,7
60,6,max,3377,1026,1085,60,8
60,6,max,3399,1158,1217,60,9
60,6,max,3423,1302,1361,60,10
60,6,max,3444,1428,1487,60,11
60,6,max,3470,1584,1643,60,12
60,6,max,3491,1710,1769,60,13
60,6,max,3515,1854,1913,60,14
60,6,max,3538,1992,2051,60,15
60,6,max,3559,2118,2177,60,16
60,6,max,3577,2226,2285,60,17
60,6,max,3597,2346,2405,60,18
60,6,max,3619,2478,2537,60,19
60,6,max,3640,2604,2663,60,20
60,6,max,3662,2736,2795,60,21
60,6,max,3681,2850,2909,60,22
60,6,max,3707,3006,3065,60,23
60,6,max,3731,3150,3209,60,24
60,12,min,3745,48,107,60,0
60,12,min,3756,180,239,60,1
60,12,min,3765,288,347,60,2
60,12,min,3774,396,455,60,3
60,12,min,3788,564,623,60,4
60,12,min,3800,708,767,60,5
60,12,min,3813,864,923,60,6
60,12,min,3823,984,1043,60,7
60,12,min,3833,1104,1163,60,8
60,12,min,3846,1260,1319,60,9
60,12,min,3857,1392,1451,60,10
60,12,min,3868,1524,1583,60,11
60,12,min,3878,1644,1703,60,12
60,12,min,3892,1812,1871,60,13
60,12,min,3903,1944,2003,60,14
60,12,min,3913,2064,2123,60,15
60,12,min,3923,2184,2243,60,16
60,12,min,3934,2316,2375,60,17
60,12,min,3944,2436,2495,60,18
60,12,min,3954,2556,2615,60,19
60,12,min,3966,2700,2759,60,20
60,12,min,3976,2820,2879,60,21
60,12,min,3986,2940,2999,60,22
60,12,min,3998,3084,3143,60,23
60,12,max,3751,120,179,60,0
60,12,max,3759,216,275,60,1
60,12,max,3768,324,383,60,2
60,12,max,3778,444,503,60,3
60,12,max,3785,528,587,60,4
60,12,max,3795,648,707,60,5
60,12,max,3806,780,839,60,6
60,12,max,3819,936,995,60,7
60,12,max,3827,1032,1091,60,8
60,12,max,3838,1164,1223,60,9
60,12,max,3850,1308,1367,60,10
60,12,max,3860,1428,1487,60,11
60,12,max,3873,1584,1643,60,12
60,12,max,3884,1716,1775,60,13
60,12,max,3896,1860,1919,60,14
60,12,max,3907,1992,2051,60,15
60,12,max,3918,2124,2183,60,16
60,12,max,3927,2232,2291,60,17
60,12,max,3937,2352,2411,60,18
60,12,max,3948,2484,2543,60,19
60,12,max,3958,2604,2663,60,20
60,12,max,3969,2736,2795,60,21
60,12,max,3979,2856,2915,60,22
60,12,max,3992,3012,3071,60,23
60,12,max,4004,3156,3215,60,24
132,1,min,4011,2,133,132,0
132,1,min,4146,137,268,132,1
132,1,min,4365,356,487,132,2
132,1,min,4529,520,651,132,3
132,1,min,4673,664,795,132,4
132,1,min,4830,821,952,132,5
132,1,min,4962,953,1084,132,6
132,1,min,5222,1213,1344,132,7
132,1,min,5356,1347,1478,132,8
132,1,min,5495,1486,1617,132,9
132,1,min,5627,1618,1749,132,10
132,1,min,5774,1765,1896,132,11
132,1,min,5912,1903,2034,132,12
132,1,min,6154,2145,2276,132,13
132,1,min,6286,2277,2408,132,14
132,1,min,6527,2518,2649,132,15
132,1,min,6667,2658,2789,132,16
132,1,min,6909,2900,3031,132,17
132,1,min,7056,3047,3178,132,18
132,1,max,4086,77,208,132,0
132,1,max,4290,281,412,132,1
132,1,max,4500,491,622,132,2
132,1,max,4750,741,872,132,3
132,1,max,4907,898,1029,132,4
132,1,max,5127,1118,1249,132,5
132,1,max,5271,1262,1393,132,6
132,1,max,5403,1394,1525,132,7
132,1,max,5557,1548,1679,132,8
132,1,max,5689,1680,1811,132,9
132,1,max,5822,1813,1944,132,10
132,1,max,5960,1951,2082,132,11
132,1,max,6092,2083,2214,132,12
132,1,max,6318,2309,2440,132,13
132,1,max,6450,2441,2572,132,14
132,1,max,6582,2573,2704,132,15
132,1,max,6714,2705,2836,132,16
132,1,max,6976,2967,3098,132,17
132,1,max,7121,3112,3243,132,18
132,6,min,7144,6,137,132,0
132,6,min,7166,138,269,132,1
132,6,min,7203,360,491,132,2
132,6,min,7230,522,653,132,3
132,6,min,7254,666,797,132,4
132,6,min,7280,822,953,132,5
132,6,min,7302,954,1085,132,6
132,6,min,7346,1218,1349,132,7
132,6,min,7368,1350,1481,132,8
132,6,min,7391,1488,1619,132,9
132,6,min,7438,1770,1901,132,10
132,6,min,7461,1908,2039,132,11
132,6,min,7501,2148,2279,132,12
132,6,min,7523,2280,2411,132,13
132,6,min,7563,2520,2651,132,14
132,6,min,7586,2658,2789,132,15
132,6,min,7627,2904,3035,132,16
132,6,min,7651,3048,3179,132,17
132,6,max,7156,78,209,132,0
132,6,max,7190,282,413,132,1
132,6,max,7225,492,623,132,2
132,6,max,7267,744,875,132,3
132,6,max,7293,900,1031,132,4
132,6,max,7330,1122,1253,132,5
132,6,max,7354,1266,1397,132,6
132,6,max,7376,1398,1529,132,7
132,6,max,7401,1548,1679,132,8
132,6,max,7423,1680,1811,132,9
132,6,max,7446,1818,1949,132,10
132,6,max,7469,1956,2087,132,11
132,6,max,7491,2088,2219,132,12
132,6,max,7528,2310,2441,132,13
132,6,max,7550,2442,2573,132,14
132,6,max,7572,2574,2705,132,15
132,6,max,7594,2706,2837,132,16
132,6,max,7638,2970,3101,132,17
132,6,max,7662,3114,3245,132,18
132,12,min,7667,12,143,132,0
132,12,min,7678,144,275,132,1
132,12,min,7696,360,491,132,2
132,12,min,7710,528,659,132,3
132,12,min,7722,672,803,132,4
132,12,min,7735,828,959,132,5
132,12,min,7755,1068,1199,132,6
132,12,min,7768,1224,1355,132,7
132,12,min,7779,1356,1487,132,8
132,12,min,7790,1488,1619,132,9
132,12,min,7814,1776,1907,132,10
132,12,min,7825,1908,2039,132,11
132,12,min,7845,2148,2279,132,12
132,12,min,7856,2280,2411,132,13
132,12,min,7876,2520,2651,132,14
132,12,min,7888,2664,2795,132,15
132,12,min,7908,2904,3035,132,16
132,12,min,7920,3048,3179,132,17
132,12,max,7673,84,215,132,0
132,12,max,7690,288,419,132,1
132,12,max,7707,492,623,132,2
132,12,max,7728,744,875,132,3
132,12,max,7741,900,1031,132,4
132,12,max,7760,1128,1259,132,5
132,12,max,7772,1272,1403,132,6
132,12,max,7795,1548,1679,132,7
132,12,max,7806,1680,1811,132,8
132,12,max,7818,1824,1955,132,9
132,12,max,7829,1956,2087,132,10
132,12,max,7840,2088,2219,132,11
132,12,max,7859,2316,2447,132,12
132,12,max,7870,2448,2579,132,13
132,12,max,7891,2700,2831,132,14
132,12,max,7914,2976,3107,132,15
132,12,max,7926,3120,3251,132,16
264,1,min,7999,71,334,264,0
264,1,min,8382,454,717,264,1
264,1,min,8683,755,1018,264,2
264,1,min,9075,1147,1410,264,3
264,1,min,9348,1420,1683,264,4
264,1,min,9627,1699,1962,264,5
264,1,min,9891,1963,2226,264,6
264,1,min,10254,2326,2589,264,7
264,1,min,10520,2592,2855,264,8
264,1,min,10909,2981,3244,264,9
264,1,max,7939,11,274,264,0
264,1,max,8261,333,596,264,1
264,1,max,8603,675,938,264,2
264,1,max,8980,1052,1315,264,3
264,1,max,9252,1324,1587,264,4
264,1,max,9531,1603,1866,264,5
264,1,max,9813,1885,2148,264,6
264,1,max,10171,2243,2506,264,7
264,1,max,10435,2507,2770,264,8
264,1,max,10829,2901,3164,264,9
264,6,min,10942,72,335,264,0
264,6,min,11006,456,719,264,1
264,6,min,11056,756,1019,264,2
264,6,min,11122,1152,1415,264,3
264,6,min,11167,1422,1685,264,4
264,6,min,11214,1704,1967,264,5
264,6,min,11258,1968,2231,264,6
264,6,min,11318,2328,2591,264,7
264,6,min,11362,2592,2855,264,8
264,6,min,11427,2982,3245,264,9
264,6,max,10932,12,275,264,0
264,6,max,10986,336,599,264,1
264,6,max,11043,678,941,264,2
264,6,max,11106,1056,1319,264,3
264,6,max,11151,1326,1589,264,4
264,6,max,11198,1608,1871,264,5
264,6,max,11245,1890,2153,264,6
264,6,max,11304,2244,2507,264,7
264,6,max,11348,2508,2771,264,8
264,6,max,11414,2904,3167,264,9
264,12,min,11437,72,335,264,0
264,12,min,11469,456,719,264,1
264,12,min,11494,756,1019,264,2
264,12,min,11527,1152,1415,264,3
264,12,min,11550,1428,1691,264,4
264,12,min,11573,1704,1967,264,5
264,12,min,11595,1968,2231,264,6
264,12,min,11625,2328,2591,264,7
264,12,min,11647,2592,2855,264,8
264,12,min,11680,2988,3251,264,9
264,12,max,11432,12,275,264,0
264,12,max,11459,336,599,264,1
264,12,max,11488,684,947,264,2
264,12,max,11519,1056,1319,264,3
264,12,max,11542,1332,1595,264,4
264,12,max,11565,1608,1871,264,5
264,12,max,11589,1896,2159,264,6
264,12,max,11618,2244,2507,264,7
264,12,max,11640,2508,2771,264,8
264,12,max,11673,2904,3167,264,9
