W,G,k,n_min,n_max,mean_min,mean_max,median_min,median_max,std_min,std_max,diff_means,cliffs_delta,p_perm,q_fdr,significant_fdr_0_05
60,12,8,24,25,7.949037844003997,10.34014655424745,7.982194182468447,10.76814270146049,1.71400598770101,3.077156672071978,-2.3911087102434534,-0.4933333333333333,0.000999500249875,0.015992003998001,True
60,12,9,24,25,7.405034938251557,9.751936168050454,7.475409636820487,9.378999765473528,1.7375287390331164,2.8126395060145817,-2.346901229798897,-0.4833333333333333,0.000999500249875,0.015992003998001,True
60,12,12,24,25,6.666410454263848,8.805780938082682,6.710223387810906,9.164075915691551,1.6485898995063657,2.358231032875647,-2.1393704838188343,-0.52,0.0019990004997501,0.0261687338149107,True
60,12,13,24,25,6.3439854157244655,8.796311806282889,6.352378441646028,9.424401323774484,1.6294592027946868,2.485863556522284,-2.452326390558423,-0.5566666666666666,0.0014992503748125,0.0215892053973013,True
60,12,14,24,25,6.141646549006872,8.646165143186842,5.928229931639714,9.146062948409586,1.538574237039029,2.4388107434188497,-2.50451859417997,-0.5966666666666667,0.0004997501249375,0.0119940029985007,True
60,12,15,24,25,5.9398946642639485,8.372894269218131,5.52050229860007,9.046402552177062,1.6186236827343825,2.417074446388402,-2.4329996049541824,-0.6033333333333334,0.000999500249875,0.015992003998001,True
60,12,16,24,25,5.772862587007338,8.169517805278709,5.407321294827288,8.792444149447691,1.4972398790652983,2.3484906948856925,-2.3966552182713707,-0.6033333333333334,0.0004997501249375,0.0119940029985007,True
60,12,17,24,25,5.719224312728277,7.98582656128407,5.240447813668105,8.252959378461686,1.6240447703558625,2.3888069535311147,-2.266602248555793,-0.56,0.0004997501249375,0.0119940029985007,True
60,12,18,24,25,5.280694818339181,7.876924305596015,5.0441684259488415,8.219813146231324,1.4059582649582651,2.398839708634224,-2.596229487256834,-0.6533333333333333,0.0004997501249375,0.0119940029985007,True
60,12,19,24,25,5.122349603574787,7.738425784151969,4.875225623925701,8.07806477544963,1.388485181529577,2.411417167822529,-2.6160761805771813,-0.6533333333333333,0.0004997501249375,0.0119940029985007,True
60,12,20,24,25,5.112401609346169,7.572484735180076,4.847672568418412,7.711083271571781,1.384222054821665,2.5476249232885584,-2.460083125833907,-0.6333333333333333,0.0004997501249375,0.0119940029985007,True
