series,W,G,phase,k,n_windows,PR_point,PR_mean,PR_std,PR_10,PR_50,PR_90,n_bootstrap_effective
S0,60,1,declining,5,1542,1.3670817991830673,1.3694904770563516,0.014306532597035994,1.3516051223307872,1.369735759951163,1.3871040594829835,1000
S0,60,1,declining,6,1542,1.3962335500296137,1.3982675079602958,0.014838904091146963,1.3795283709909525,1.3984535338759352,1.4170865630605471,1000
S0,60,1,declining,7,1542,1.420535355241153,1.4240691428130072,0.015044986291961318,1.404928248142468,1.423852619644233,1.4430368243445444,1000
S0,60,1,declining,8,1542,1.4424990370182629,1.4464134854751098,0.01619080847672078,1.426108534959846,1.4462323254122538,1.467766869224318,1000
S0,60,1,declining,9,1542,1.464129130894354,1.4677410698138929,0.01680757626766261,1.4466767486054994,1.4670615198353216,1.489999779902508,1000
S0,60,1,declining,10,1542,1.4837229423055205,1.4902719673266778,0.017264199929252683,1.4696529976810238,1.490606934477149,1.5109932859316215,1000
S0,60,1,declining,11,1542,1.5020301358596024,1.5071938208723537,0.017597535211375782,1.4854680789614618,1.5066467287788359,1.528789608131054,1000
S0,60,1,declining,12,1542,1.5199905903586046,1.5255123802381505,0.018480323549734043,1.5026948901538588,1.5253283644723212,1.5492604836193375,1000
S0,60,1,declining,13,1542,1.5371994208830424,1.5436532624006218,0.018554582389425645,1.5203139208289254,1.5434469644982571,1.568073612268135,1000
S0,60,1,declining,14,1542,1.5534553696331905,1.5589050858974807,0.019615426636646918,1.5329880741045556,1.559066401024383,1.5823766612764947,1000
S0,60,1,declining,15,1542,1.5681288937782583,1.5751361515658628,0.019922658365889693,1.550028867457257,1.5751606345752704,1.6008135246027695,1000
S0,60,1,declining,16,1542,1.582147541344347,1.5893302785845314,0.020486015370524246,1.5640700953806836,1.5883161443985814,1.615527371172914,1000
S0,60,1,declining,17,1542,1.5950857075602483,1.603516823902718,0.020879412846744664,1.5771193971471995,1.603716059365384,1.6311448288436814,1000
S0,60,1,declining,18,1542,1.6078206014397145,1.6153901806279747,0.021254722098592048,1.5894370016607768,1.61395542756686,1.6422920858843821,1000
S0,60,1,declining,19,1542,1.6202307024962066,1.6268122093265527,0.02014054262582435,1.6007157104450631,1.6267514036797697,1.6534966873753096,1000
S0,60,1,declining,20,1542,1.6320559724971662,1.640004973758228,0.021442596285753634,1.6123199228452771,1.6399490668736456,1.6666909671846648,1000
S0,60,1,min,5,288,1.6506975852924157,1.6684458236044826,0.05861786657944825,1.5963405138455555,1.665433731583129,1.7471701981483378,1000
S0,60,1,min,6,288,1.702376251021129,1.7282467549652234,0.06348321512769264,1.6451739522033402,1.7277637895105875,1.8106670925699562,1000
S0,60,1,min,7,288,1.7506005490212835,1.776359094986129,0.06980774081478798,1.6930961420783526,1.7704937679526127,1.8683489366556407,1000
