series,W,G,phase,k,n_windows,PR_point,PR_mean,PR_std,PR_10,PR_50,PR_90,n_bootstrap_effective
S0,60,1,declining,5,1542,2.5884443199375133,2.6008089010578774,0.04779872625001078,2.538415499548851,2.600844098444942,2.6629335199185276,1000
S0,60,1,declining,6,1542,2.7931847810268704,2.8123173428664425,0.05351921527502114,2.741667307111363,2.814961474145022,2.8807136827010242,1000
S0,60,1,declining,7,1542,2.9840426144703396,3.0106203966459186,0.061887143375745045,2.930305322816474,3.009005431985996,3.0887807292270018,1000
S0,60,1,declining,8,1542,3.1758711806050113,3.207102258000935,0.07222398909460592,3.1179192164165324,3.2060027537101057,3.2971233134037994,1000
S0,60,1,declining,9,1542,3.3547042882801716,3.391551687346793,0.07769657064713159,3.289245345684224,3.3913136878190473,3.490706079026418,1000
S0,60,1,declining,10,1542,3.5244853909828726,3.5627616868633694,0.08320910846984841,3.45626096556159,3.561887313508057,3.6693442427337932,1000
S0,60,1,declining,11,1542,3.6940253374943723,3.737748342148058,0.0926025314105063,3.6180687352476304,3.738939302457748,3.8524761729148285,1000
S0,60,1,declining,12,1542,3.8591235976341407,3.898342717762337,0.09808297818323682,3.7744687153609147,3.896545989645513,4.026459829152964,1000
S0,60,1,declining,13,1542,4.0182640538379495,4.059109535444795,0.10733015685878358,3.9245876697745445,4.057588500230207,4.19673955716803,1000
S0,60,1,declining,14,1542,4.163736499326088,4.212816787568892,0.10861982329788336,4.07822704548202,4.209767411215647,4.349666130488253,1000
S0,60,1,declining,15,1542,4.304583431452534,4.357072107122891,0.11937529380223028,4.202290018634947,4.359224015691654,4.506225763064231,1000
S0,60,1,declining,16,1542,4.436418208065505,4.48951339624831,0.12169366731379015,4.338088732820518,4.483541429696537,4.648573835056595,1000
S0,60,1,declining,17,1542,4.567465407814585,4.61926046212124,0.12370240915840065,4.468381947754826,4.6131327312054395,4.783219563657711,1000
S0,60,1,declining,18,1542,4.696545921849394,4.758844608110701,0.13417230262579014,4.59054823369272,4.7588042825253885,4.94094984130603,1000
S0,60,1,declining,19,1542,4.8207986431341245,4.885665985404305,0.1368371065807081,4.713140662017482,4.884563815982467,5.056380339234691,1000
S0,60,1,declining,20,1542,4.939414117663143,4.994093431287622,0.14592799743074414,4.805197403547707,4.997387500948216,5.180210432435245,1000
S0,60,1,min,5,288,1.7800074674327158,1.8144018490402225,0.07821722573476553,1.7183538620500136,1.8100143291486206,1.916607327252487,1000
S0,60,1,min,6,288,1.8727736675951574,1.9188092934540772,0.08828321578229631,1.8081529396996523,1.913775966031799,2.0357065395888547,1000
S0,60,1,min,7,288,1.9590934138120024,2.0051487024534542,0.09762465387088133,1.8858258994900183,1.9996553197282285,2.1269491657357964,1000
S0,60,1,min,8,288,2.0371389982047483,2.091585101470443,0.10186017505699123,1.972032534539972,2.0836810954778557,2.2287402104239695,1000
