series,window_size_months,stride_months,k,d_hat_k,n_windows
S0,132,12,5,6.611779547036375,40
S0,132,12,6,5.703214170160541,40
S0,132,12,7,5.265624948400152,40
S0,132,12,8,4.916382186955268,40
S0,132,12,9,4.5203465424439155,40
S0,132,12,10,4.193232633529691,40
S0,132,12,11,3.870921316412313,40
S0,132,12,12,3.732274367865616,40
S0,132,12,13,3.6241170337265416,40
S0,132,12,14,3.486830360624188,40
S0,132,12,15,3.3658230376485747,40
S0,132,12,16,3.3319811792554432,40
S0,132,12,17,3.2257291811343114,40
S0,132,12,18,3.239943898426162,40
S0,132,12,19,3.1873496382243793,40
S0,132,12,20,3.1625471042818463,40
S0,132,1,5,6.4407389326673705,40
S0,132,1,6,5.661665556577544,40
S0,132,1,7,4.764381966712401,40
S0,132,1,8,4.692881348944004,40
S0,132,1,9,4.260005907016108,40
S0,132,1,10,3.9549662415770683,40
S0,132,1,11,3.7263046756586973,40
S0,132,1,12,3.6664879131781047,40
S0,132,1,13,3.563366396773035,40
S0,132,1,14,3.471072194777496,40
S0,132,1,15,3.3536853290962876,40
S0,132,1,16,3.3370482538864805,40
S0,132,1,17,3.3341336167829736,40
S0,132,1,18,3.317934229418269,40
S0,132,1,19,3.2225812635493165,40
S0,132,1,20,3.220586325766287,40
S0,132,6,5,6.5303891377321435,40
S0,132,6,6,5.505143031648272,40
S0,132,6,7,4.905303669034621,40
S0,132,6,8,4.58561816057203,40
S0,132,6,9,4.34503787057921,40
S0,132,6,10,4.045190881552161,40
S0,132,6,11,3.787036958439444,40
S0,132,6,12,3.818248137899226,40
S0,132,6,13,3.6914566330700795,40
S0,132,6,14,3.495330230845693,40
S0,132,6,15,3.4968544059528712,40
S0,132,6,16,3.3946723968402837,40
S0,132,6,17,3.3706830418672498,40
S0,132,6,18,3.333394820202792,40
S0,132,6,19,3.28084280029413,40
S0,132,6,20,3.1880299477193375,40
S0,264,12,5,6.676593457363991,40
S0,264,12,6,6.561238716073014,40
S0,264,12,7,6.048916420496787,40
S0,264,12,8,5.749424667633764,40
S0,264,12,9,5.638534760589532,40
S0,264,12,10,5.3790947798294155,40
S0,264,12,11,5.051755444546094,40
S0,264,12,12,4.977782202153948,40
S0,264,12,13,4.759718229975205,40
S0,264,12,14,4.592600824853065,40
S0,264,12,15,4.5153585999090895,40
S0,264,12,16,4.492446115114224,40
S0,264,12,17,4.350639012324815,40
S0,264,12,18,4.221528628273826,40
S0,264,12,19,4.044468902185439,40
S0,264,12,20,3.9718283961993093,40
S0,264,1,5,6.5051859389164495,40
S0,264,1,6,6.257685423879012,40
S0,264,1,7,6.041882559065712,40
S0,264,1,8,5.60590428641044,40
S0,264,1,9,5.636915552650545,40
S0,264,1,10,5.256736207490947,40
S0,264,1,11,5.0361935046119815,40
S0,264,1,12,5.031494392765913,40
S0,264,1,13,4.652995324400474,40
S0,264,1,14,4.390803807384642,40
S0,264,1,15,4.421498267005343,40
S0,264,1,16,4.384309528823161,40
S0,264,1,17,4.2199705141746335,40
S0,264,1,18,4.111676383463152,40
S0,264,1,19,4.062463025287299,40
S0,264,1,20,3.91679721610842,40
S0,264,6,5,6.612101199339695,40
S0,264,6,6,6.3101841259097995,40
S0,264,6,7,6.007607875710546,40
S0,264,6,8,5.505079068711876,40
S0,264,6,9,5.404029811660328,40
S0,264,6,10,5.134880387237153,40
S0,264,6,11,4.887912392532646,40
S0,264,6,12,4.6235312054558815,40
S0,264,6,13,4.657054086763632,40
S0,264,6,14,4.541883221620006,40
S0,264,6,15,4.491129977991107,40
S0,264,6,16,4.365329735819957,40
S0,264,6,17,4.277641180210677,40
S0,264,6,18,4.144299451818067,40
S0,264,6,19,3.9870355029411924,40
S0,264,6,20,3.9409336868793003,40
S0,60,12,5,6.727401159102882,40
S0,60,12,6,5.703084585213039,40
S0,60,12,7,5.390401666591806,40
S0,60,12,8,5.019864249134002,40
S0,60,12,9,4.649454542516094,40
S0,60,12,10,4.204442334318914,40
S0,60,12,11,3.780349456283666,40
S0,60,12,12,3.6311232059172527,40
S0,60,12,13,3.4821599557112677,40
S0,60,12,14,3.260862087491197,40
S0,60,12,15,3.136170934585395,40
S0,60,12,16,3.105514240108504,40
S0,60,12,17,3.0328428482055005,40
S0,60,12,18,2.920510856525977,40
S0,60,12,19,2.8710715727348215,40
S0,60,12,20,2.818279435988483,40
S0,60,1,5,5.75512360837088,40
S0,60,1,6,5.231333252379386,40
S0,60,1,7,4.754088060324521,40
S0,60,1,8,4.680315920001229,40
S0,60,1,9,4.274729408627337,40
S0,60,1,10,4.038216407985151,40
S0,60,1,11,3.7353871060257715,40
S0,60,1,12,3.5945437971753975,40
S0,60,1,13,3.442268543982088,40
S0,60,1,14,3.2540192946979083,40
S0,60,1,15,3.0256632596602966,40
S0,60,1,16,2.9281079796381326,40
S0,60,1,17,2.8954297171999914,40
S0,60,1,18,2.801035493875758,40
S0,60,1,19,2.7628057733875284,40
S0,60,1,20,2.7208409118530748,40
S0,60,6,5,6.665154304955067,40
S0,60,6,6,6.0620258871443164,40
S0,60,6,7,5.240614349032438,40
S0,60,6,8,5.093135223455377,40
S0,60,6,9,4.646214560145966,40
S0,60,6,10,4.125656683918549,40
S0,60,6,11,3.963274273759486,40
S0,60,6,12,3.6436786052112993,40
S0,60,6,13,3.419831602568494,40
S0,60,6,14,3.2664157215636314,40
S0,60,6,15,3.177036657063212,40
S0,60,6,16,3.112033674170739,40
S0,60,6,17,3.0323064382386145,40
S0,60,6,18,2.985436263882119,40
S0,60,6,19,2.8831724836109864,40
S0,60,6,20,2.8104794929079753,40
