window_id,W,phase,d_M1,d_M2,T_log_M1,T_log_M2,diff_d,diff_T_log
nonoverlap_60_0,60,declining,3.2841126722929834,3.2079570924789977,-2.931089387360934,-3.2428965714551974,0.07615557981398569,0.31180718409426333
nonoverlap_60_60,60,declining,3.369898526558761,3.2079570924789977,-2.57985254143227,-3.2428965714551974,0.16194143407976336,0.6630440300229274
nonoverlap_60_120,60,rising,6.652346058305988,3.2079570924789977,10.859618660956345,-3.2428965714551974,3.4443889658269904,14.102515232411543
nonoverlap_60_180,60,declining,2.146360083486363,3.2079570924789977,-7.589440512495437,-3.2428965714551974,-1.0615970089926345,-4.34654394104024
nonoverlap_60_240,60,rising,2.8893307818523963,3.2079570924789977,-4.547462473750113,-3.2428965714551974,-0.3186263106266014,-1.3045659022949159
nonoverlap_60_300,60,declining,3.033754646238062,3.2079570924789977,-3.9561414099475614,-3.2428965714551974,-0.17420244624093595,-0.713244838492364
nonoverlap_60_360,60,declining,1.7863713472108342,3.2079570924789977,-9.063358437326356,-3.2428965714551974,-1.4215857452681635,-5.820461865871158
nonoverlap_60_420,60,declining,4.401123626446423,3.2079570924789977,1.6423383387197206,-3.2428965714551974,1.1931665339674251,4.885234910174918
nonoverlap_60_480,60,unknown,,3.2079570924789977,,-3.2428965714551974,,
nonoverlap_60_540,60,unknown,,3.2079570924789977,,-3.2428965714551974,,
nonoverlap_60_600,60,rising,1.3791616224576493,3.2079570924789977,-10.730615359553516,-3.2428965714551974,-1.8287954700213485,-7.487718788098318
nonoverlap_60_660,60,rising,2.4588691038179284,3.2079570924789977,-6.309920904455537,-3.2428965714551974,-0.7490879886610693,-3.0670243330003397
nonoverlap_60_720,60,declining,2.0171712123934538,3.2079570924789977,-8.118384264354303,-3.2428965714551974,-1.190785880085544,-4.875487692899105
nonoverlap_60_780,60,rising,1.6086857392728295,3.2079570924789977,-9.790864539972452,-3.2428965714551974,-1.5992713532061682,-6.547967968517254
nonoverlap_60_840,60,declining,2.6035888717716973,3.2079570924789977,-5.71738830948798,-3.2428965714551974,-0.6043682207073005,-2.4744917380327824
nonoverlap_60_900,60,rising,1.4710256295847992,3.2079570924789977,-10.354492461508537,-3.2428965714551974,-1.7369314628941985,-7.111595890053339
nonoverlap_60_960,60,rising,3.2259084317062534,3.2079570924789977,-3.169397603305479,-3.2428965714551974,0.01795133922725567,0.07349896814971846
nonoverlap_60_1020,60,min,,3.2079570924789977,,-3.2428965714551974,,
nonoverlap_60_1080,60,declining,5.042224652126447,3.2079570924789977,4.267226837047739,-3.2428965714551974,1.8342675596474494,7.5101234085029365
nonoverlap_60_1140,60,rising,2.979100405078323,3.2079570924789977,-4.179914705042313,-3.2428965714551974,-0.22885668740067455,-0.9370181335871153
nonoverlap_60_1200,60,declining,2.519438658581199,3.2079570924789977,-6.061928277274327,-3.2428965714551974,-0.6885184338977988,-2.8190317058191297
nonoverlap_60_1260,60,declining,2.0467006656212425,3.2079570924789977,-7.997480508105714,-3.2428965714551974,-1.1612564268577552,-4.754583936650517
nonoverlap_60_1320,60,rising,2.3370384384416063,3.2079570924789977,-6.808737626750982,-3.2428965714551974,-0.8709186540373914,-3.565841055295784
nonoverlap_60_1380,60,declining,8.24794599539452,3.2079570924789977,17.3925545868567,-3.2428965714551974,5.039988902915523,20.6354511583119
nonoverlap_60_1440,60,rising,2.6814981333560404,3.2079570924789977,-5.398400947973385,-3.2428965714551974,-0.5264589591229574,-2.1555043765181874
nonoverlap_60_1500,60,declining,2.1380414241763845,3.2079570924789977,-7.623499970006226,-3.2428965714551974,-1.0699156683026132,-4.380603398551029
nonoverlap_60_1560,60,min,,3.2079570924789977,,-3.2428965714551974,,
nonoverlap_60_1620,60,max,,3.2079570924789977,,-3.2428965714551974,,
nonoverlap_60_1680,60,min,,3.2079570924789977,,-3.2428965714551974,,
nonoverlap_60_1740,60,max,,3.2079570924789977,,-3.2428965714551974,,
nonoverlap_60_1800,60,declining,2.3092209150605334,3.2079570924789977,-6.922632152340764,-3.2428965714551974,-0.8987361774184643,-3.6797355808855667
nonoverlap_60_1860,60,rising,3.721068032738601,3.2079570924789977,-1.142043583386622,-3.2428965714551974,0.5131109402596032,2.100852988068575
nonoverlap_60_1920,60,declining,2.0047357104209493,3.2079570924789977,-8.169299494233929,-3.2428965714551974,-1.2032213820580484,-4.926402922778731
nonoverlap_60_1980,60,rising,2.4622000272857525,3.2079570924789977,-6.2962829560678735,-3.2428965714551974,-0.7457570651932452,-3.053386384612676
nonoverlap_60_2040,60,declining,2.7443210689379405,3.2079570924789977,-5.141182203290803,-3.2428965714551974,-0.46363602354105726,-1.898285631835606
nonoverlap_60_2100,60,rising,2.6890986653752105,3.2079570924789977,-5.367281751030701,-3.2428965714551974,-0.5188584271037873,-2.1243851795755035
nonoverlap_60_2160,60,declining,2.6186421141353304,3.2079570924789977,-5.655755148472626,-3.2428965714551974,-0.5893149783436673,-2.412858577017429
nonoverlap_60_2220,60,min,,3.2079570924789977,,-3.2428965714551974,,
nonoverlap_60_2280,60,declining,3.751677043032772,3.2079570924789977,-1.0167197485336827,-3.2428965714551974,0.5437199505537742,2.2261768229215146
nonoverlap_60_2340,60,min,,3.2079570924789977,,-3.2428965714551974,,
nonoverlap_60_2400,60,declining,2.151678430825654,3.2079570924789977,-7.567665365986804,-3.2428965714551974,-1.056278661653344,-4.324768794531607
nonoverlap_60_2460,60,min,,3.2079570924789977,,-3.2428965714551974,,
nonoverlap_60_2520,60,declining,1.980580380373037,3.2079570924789977,-8.26819973846428,-3.2428965714551974,-1.2273767121059607,-5.025303167009081
nonoverlap_60_2580,60,declining,3.671293082364628,3.2079570924789977,-1.3458393807851734,-3.2428965714551974,0.4633359898856302,1.897057190670024
nonoverlap_60_2640,60,max,,3.2079570924789977,,-3.2428965714551974,,
nonoverlap_60_2700,60,declining,1.9586508751112552,3.2079570924789977,-8.357986689085076,-3.2428965714551974,-1.2493062173677425,-5.115090117629878
nonoverlap_60_2760,60,rising,2.1398284470784743,3.2079570924789977,-7.616183282504489,-3.2428965714551974,-1.0681286454005234,-4.373286711049291
nonoverlap_60_2820,60,declining,2.190240884652137,3.2079570924789977,-7.409777392856402,-3.2428965714551974,-1.0177162078268607,-4.166880821401204
nonoverlap_60_2880,60,max,,3.2079570924789977,,-3.2428965714551974,,
nonoverlap_60_2940,60,declining,2.89454331214044,3.2079570924789977,-4.526120578709844,-3.2428965714551974,-0.31341378033855793,-1.2832240072546468
nonoverlap_60_3000,60,rising,2.414045578394847,3.2079570924789977,-6.493443862031155,-3.2428965714551974,-0.7939115140841508,-3.2505472905759576
nonoverlap_60_3060,60,declining,2.009232704868618,3.2079570924789977,-8.150887249470774,-3.2428965714551974,-1.1987243876103797,-4.907990678015576
nonoverlap_60_3120,60,min,,3.2079570924789977,,-3.2428965714551974,,
nonoverlap_60_3180,60,max,,3.2079570924789977,,-3.2428965714551974,,
nonoverlap_132_0,132,declining,6.465595582804662,2.6771890149465656,12.039014852039065,-6.459024021037281,3.7884065678580963,18.498038873076347
nonoverlap_132_132,132,declining,5.262982873465228,2.6771890149465656,6.166895202749675,-6.459024021037281,2.5857938585186626,12.625919223786955
nonoverlap_132_264,132,declining,8.695404751813994,2.6771890149465656,22.92673134947855,-6.459024021037281,6.018215736867429,29.38575537051583
nonoverlap_132_396,132,min,,2.6771890149465656,,-6.459024021037281,,
nonoverlap_132_528,132,max,,2.6771890149465656,,-6.459024021037281,,
nonoverlap_132_660,132,declining,2.403139942895802,2.6771890149465656,-7.797151356929761,-6.459024021037281,-0.2740490720507638,-1.3381273358924801
nonoverlap_132_792,132,declining,2.757411403527487,2.6771890149465656,-6.067313987839888,-6.459024021037281,0.08022238858092123,0.39171003319739306
nonoverlap_132_924,132,rising,,2.6771890149465656,,-6.459024021037281,,
nonoverlap_132_1056,132,declining,7.612073333297056,2.6771890149465656,17.637038616345826,-6.459024021037281,4.934884318350491,24.096062637383106
nonoverlap_132_1188,132,declining,2.6182446517447575,2.6771890149465656,-6.746837671004698,-6.459024021037281,-0.05894436320180807,-0.28781364996741754
nonoverlap_132_1320,132,declining,3.2175003110384104,2.6771890149465656,-3.8207909856848867,-6.459024021037281,0.5403112960918448,2.638233035352394
nonoverlap_132_1452,132,declining,3.5124319361491514,2.6771890149465656,-2.3806982795626377,-6.459024021037281,0.8352429212025858,4.078325741474643
nonoverlap_132_1584,132,max,,2.6771890149465656,,-6.459024021037281,,
nonoverlap_132_1716,132,declining,2.7488592291419307,2.6771890149465656,-6.109072561371974,-6.459024021037281,0.07167021419536512,0.3499514596653066
nonoverlap_132_1848,132,max,,2.6771890149465656,,-6.459024021037281,,
nonoverlap_132_1980,132,max,,2.6771890149465656,,-6.459024021037281,,
nonoverlap_132_2112,132,max,,2.6771890149465656,,-6.459024021037281,,
nonoverlap_132_2244,132,declining,4.1788741909407685,2.6771890149465656,0.873407243426666,-6.459024021037281,1.501685175994203,7.332431264463946
nonoverlap_132_2376,132,declining,3.795386259007944,2.6771890149465656,-0.9990883679036001,-6.459024021037281,1.1181972440613785,5.45993565313368
nonoverlap_132_2508,132,declining,5.5299545360409885,2.6771890149465656,7.470464950050677,-6.459024021037281,2.852765521094423,13.929488971087958
nonoverlap_132_2640,132,declining,11.391745185082362,2.6771890149465656,36.09242760098871,-6.459024021037281,8.714556170135797,42.551451622025986
nonoverlap_132_2772,132,declining,3.7210451881520044,2.6771890149465656,-1.3620810916061123,-6.459024021037281,1.0438561732054388,5.096942929431169
nonoverlap_132_2904,132,declining,4.261049436108643,2.6771890149465656,1.2746526885213714,-6.459024021037281,1.5838604211620777,7.733676709558652
nonoverlap_132_3036,132,declining,5.146351809603048,2.6771890149465656,5.597408819890127,-6.459024021037281,2.4691627946564823,12.056432840927407
nonoverlap_264_0,264,rising,,3.4050404065289115,,-3.317464411623413,,
nonoverlap_264_264,264,declining,,3.4050404065289115,,-3.317464411623413,,
nonoverlap_264_528,264,rising,,3.4050404065289115,,-3.317464411623413,,
nonoverlap_264_792,264,min,,3.4050404065289115,,-3.317464411623413,,
nonoverlap_264_1056,264,rising,,3.4050404065289115,,-3.317464411623413,,
nonoverlap_264_1320,264,min,,3.4050404065289115,,-3.317464411623413,,
nonoverlap_264_1584,264,rising,,3.4050404065289115,,-3.317464411623413,,
nonoverlap_264_1848,264,declining,,3.4050404065289115,,-3.317464411623413,,
nonoverlap_264_2112,264,min,,3.4050404065289115,,-3.317464411623413,,
nonoverlap_264_2376,264,rising,,3.4050404065289115,,-3.317464411623413,,
nonoverlap_264_2640,264,rising,,3.4050404065289115,,-3.317464411623413,,
nonoverlap_264_2904,264,rising,,3.4050404065289115,,-3.317464411623413,,
