window_id,W,phase,d_point,d_std,T_log_point,T_log_mean,T_log_std,T_log_10,T_log_50,T_log_90,n_methods_used
nonoverlap_60_0,60,declining,2.9505704162411988,0.5131741130911434,-4.29672630969785,-4.2862024847733515,0.9875229005358678,-5.558427504003345,-4.29672630969785,-3.0350251153923558,3
nonoverlap_60_60,60,declining,2.876752324582354,0.7184860111135997,-4.5989630118748535,-4.560730992471996,1.3510582829698883,-6.397058805643126,-4.5989630118748535,-2.800867218106579,3
nonoverlap_60_120,60,rising,3.8572848003083746,2.5335909670299723,-0.5843252018038476,-0.8066543276627519,4.817519631635914,-7.327430653760192,-0.5843252018038494,6.158780250152495,3
nonoverlap_60_180,60,declining,2.3212574686528598,0.8134764118253125,-6.8733503545921275,-6.859461291294784,1.58838668451036,-9.054956157382314,-6.873350354592129,-4.691744551801944,3
nonoverlap_60_240,60,rising,2.6530834396261658,0.70340955573339,-5.514740494733504,-5.551569438429673,1.3545289933462534,-7.35172911724684,-5.514740494733504,-3.6777518722201687,3
nonoverlap_60_300,60,declining,2.9794154233972936,0.260005427501469,-4.178624911501036,-4.190261600861199,0.518274079001663,-4.876604972049419,-4.178624911501036,-3.480644850952652,3
nonoverlap_60_360,60,declining,2.1786880989116146,0.8997264176412622,-7.457078478331627,-7.535957042505942,1.7178762316186549,-9.731106429917672,-7.457078478331629,-5.183050526745583,3
nonoverlap_60_420,60,declining,3.0557827942289535,1.427524174551629,-3.8659505820052305,-3.9628059608845296,2.757540706567473,-7.745827866005207,-3.8659505820052305,0.013926701994748433,3
nonoverlap_60_480,60,unknown,2.3109261550987386,1.268593317511413,-6.915650312063055,-6.900959297100623,2.582649715499947,-10.588404052670914,-6.915650312063055,-3.2428965714551974,2
nonoverlap_60_540,60,unknown,2.7563240163177802,0.6387056215234748,-5.092038000955518,-5.066150020942513,1.3440756815790358,-6.941179430455839,-5.092038000955518,-3.2428965714551974,2
nonoverlap_60_600,60,rising,2.318125721250878,0.915387205766577,-6.886172807537685,-6.889897994245267,1.7955137059314792,-9.382079070237124,-6.886172807537685,-4.390266544838247,3
nonoverlap_60_660,60,rising,2.6348842089026614,0.5084529115705669,-5.589254416082909,-5.586438791932477,0.998434939346827,-6.9132708163771746,-5.589254416082909,-4.265238015788646,3
nonoverlap_60_720,60,declining,2.226708262222656,0.8950681857212305,-7.260467383802047,-7.269534865722717,1.7286751372623994,-9.652875631849195,-7.260467383802047,-4.868059135754898,3
nonoverlap_60_780,60,rising,2.5252396644935895,0.824879897849345,-6.038176960261512,-6.020333911497888,1.589157695512612,-8.220832949767264,-6.038176960261512,-3.855520970755762,3
nonoverlap_60_840,60,declining,2.9087643260707465,0.3022285244083127,-4.467894847655008,-4.467943838026274,0.585058795111705,-5.29272542699927,-4.467894847655008,-3.643064268310748,3
nonoverlap_60_900,60,rising,2.212152672945144,0.896034681889553,-7.320062981610366,-7.398481813192918,1.705074397329077,-9.69059494496148,-7.320062981610366,-4.949531018259254,3
nonoverlap_60_960,60,rising,2.629920482953341,1.0167747096706838,-5.609577620431869,-5.5618520049555356,1.9787497262673377,-8.02525798150835,-5.6095776204318675,-3.193897259355386,3
nonoverlap_60_1020,60,min,2.50234307785024,0.9978889092885168,-6.131923475278159,-6.235928443815784,2.0534645766361552,-9.020950379101118,-6.131923475278159,-3.2428965714551974,2
nonoverlap_60_1080,60,declining,3.3343940762138113,1.6482532087423827,-2.725219994636799,-2.533750538882635,3.210190769266145,-7.214292356820361,-2.725219994636799,1.7638523675467608,3
nonoverlap_60_1140,60,rising,2.7779154063973697,0.5585062143873354,-5.003635410392335,-5.008406245581658,1.0774228230309981,-6.452034871467102,-5.003635410392335,-3.55523594931757,3
nonoverlap_60_1200,60,declining,2.6107042912476994,0.5572536850649222,-5.688255330448481,-5.714972935192203,1.0926825463996641,-7.193936854168721,-5.688255330448481,-4.182573806728242,3
