window_id,window_size_months,stride_months,start_index,end_index,start_date,end_date,n_points
0,60,1,0,59,1749-01-31,1753-12-31,60
82,60,1,82,141,1755-11-30,1760-10-31,60
164,60,1,164,223,1762-09-30,1767-08-31,60
246,60,1,246,305,1769-07-31,1774-06-30,60
328,60,1,328,387,1776-05-31,1781-04-30,60
410,60,1,410,469,1783-03-31,1788-02-29,60
493,60,1,493,552,1790-02-28,1795-01-31,60
575,60,1,575,634,1796-12-31,1801-11-30,60
657,60,1,657,716,1803-10-31,1808-09-30,60
739,60,1,739,798,1810-08-31,1815-07-31,60
821,60,1,821,880,1817-06-30,1822-05-31,60
903,60,1,903,962,1824-04-30,1829-03-31,60
986,60,1,986,1045,1831-03-31,1836-02-29,60
1068,60,1,1068,1127,1838-01-31,1842-12-31,60
1150,60,1,1150,1209,1844-11-30,1849-10-31,60
1232,60,1,1232,1291,1851-09-30,1856-08-31,60
1314,60,1,1314,1373,1858-07-31,1863-06-30,60
1397,60,1,1397,1456,1865-06-30,1870-05-31,60
1479,60,1,1479,1538,1872-04-30,1877-03-31,60
1561,60,1,1561,1620,1879-02-28,1884-01-31,60
1643,60,1,1643,1702,1885-12-31,1890-11-30,60
1725,60,1,1725,1784,1892-10-31,1897-09-30,60
1807,60,1,1807,1866,1899-08-31,1904-07-31,60
1890,60,1,1890,1949,1906-07-31,1911-06-30,60
1972,60,1,1972,2031,1913-05-31,1918-04-30,60
2054,60,1,2054,2113,1920-03-31,1925-02-28,60
2136,60,1,2136,2195,1927-01-31,1931-12-31,60
2218,60,1,2218,2277,1933-11-30,1938-10-31,60
2301,60,1,2301,2360,1940-10-31,1945-09-30,60
2383,60,1,2383,2442,1947-08-31,1952-07-31,60
2465,60,1,2465,2524,1954-06-30,1959-05-31,60
2547,60,1,2547,2606,1961-04-30,1966-03-31,60
2629,60,1,2629,2688,1968-02-29,1973-01-31,60
2711,60,1,2711,2770,1974-12-31,1979-11-30,60
2794,60,1,2794,2853,1981-11-30,1986-10-31,60
2876,60,1,2876,2935,1988-09-30,1993-08-31,60
2958,60,1,2958,3017,1995-07-31,2000-06-30,60
3040,60,1,3040,3099,2002-05-31,2007-04-30,60
3122,60,1,3122,3181,2009-03-31,2014-02-28,60
3205,60,1,3205,3264,2016-02-29,2021-01-31,60
3206,60,6,0,59,1749-01-31,1753-12-31,60
3219,60,6,78,137,1755-07-31,1760-06-30,60
3233,60,6,162,221,1762-07-31,1767-06-30,60
3247,60,6,246,305,1769-07-31,1774-06-30,60
3260,60,6,324,383,1776-01-31,1780-12-31,60
3274,60,6,408,467,1783-01-31,1787-12-31,60
3288,60,6,492,551,1790-01-31,1794-12-31,60
3301,60,6,570,629,1796-07-31,1801-06-30,60
3315,60,6,654,713,1803-07-31,1808-06-30,60
3329,60,6,738,797,1810-07-31,1815-06-30,60
3342,60,6,816,875,1817-01-31,1821-12-31,60
3356,60,6,900,959,1824-01-31,1828-12-31,60
3370,60,6,984,1043,1831-01-31,1835-12-31,60
3384,60,6,1068,1127,1838-01-31,1842-12-31,60
3397,60,6,1146,1205,1844-07-31,1849-06-30,60
3411,60,6,1230,1289,1851-07-31,1856-06-30,60
3425,60,6,1314,1373,1858-07-31,1863-06-30,60
3438,60,6,1392,1451,1865-01-31,1869-12-31,60
3452,60,6,1476,1535,1872-01-31,1876-12-31,60
3466,60,6,1560,1619,1879-01-31,1883-12-31,60
3479,60,6,1638,1697,1885-07-31,1890-06-30,60
3493,60,6,1722,1781,1892-07-31,1897-06-30,60
3507,60,6,1806,1865,1899-07-31,1904-06-30,60
3520,60,6,1884,1943,1906-01-31,1910-12-31,60
3534,60,6,1968,2027,1913-01-31,1917-12-31,60
3548,60,6,2052,2111,1920-01-31,1924-12-31,60
3562,60,6,2136,2195,1927-01-31,1931-12-31,60
3575,60,6,2214,2273,1933-07-31,1938-06-30,60
